Oh	UH	oh
Many	JJ	many
people	NNS	people
think	VBP	think
it	PP	it
's	VBZ	be
quite	RB	quite
worthwhile	JJ	worthwhile
to	TO	to
go	VB	go
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
out	IN	out
of	IN	of
their	PP$	their
way	NN	way
to	TO	to
get	VB	get
certified	JJ	certified
lead-free	JJ	lead-free
Amoco	NP	Amoco
gasoline	NN	gasoline
.	SENT	.
You	PP	you
expect	VBP	expect
more	JJR	more
from	IN	from
American	JJ	American
and	CC	and
you	PP	you
get	VBP	get
it	PP	it
.	SENT	.
The	DT	the
American	NP	American
Oil	NP	Oil
Company	NP	Company
.	SENT	.
