Effect	decade	N	Mean fac1	SD fac1
decade	1950	103	2.90291262	4.66844762
decade	1960	103	4.28155340	5.09597587
decade	1970	103	3.97087379	4.55566080
decade	1980	103	3.50485437	4.61003549
decade	1990	103	4.31067961	4.02450612
decade	2000	103	9.28155340	7.93406341
decade	2010	103	8.54368932	6.68738452
decade	2020	103	8.48543689	7.14810283
