Dependent	Source	DF	SS	MS	FValue	ProbF
fac5	Model	7	1324.50000	189.21429	14.18	<.0001
fac5	Error	816	10888.40777	13.34364	_	_
fac5	Corrected Total	823	12212.90777	_	_	_
