Dependent	Source	DF	SS	MS	FValue	ProbF
fac8	Model	7	353.864078	50.552011	6.44	<.0001
fac8	Error	816	6407.592233	7.852441	_	_
fac8	Corrected Total	823	6761.456311	_	_	_
