_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,loaded,factor,pole
v000044,-0.081208695,-0.013086865,0.195760085,-0.054246013,0.1183855714,-0.139462662,0.0049524744,-0.341111198,1,fac8,-1
v000045,0.1147794697,0.3023195519,0.240609807,0.4592114307,0.0009773523,-0.126295531,0.1431670893,-0.016586706,1,fac4,1
v000046,0.6304220595,0.2463389649,0.0525337686,-0.218433317,-0.068255854,-0.161008545,-0.022365152,-0.810904898,1,fac8,-1
v000047,-0.299651042,-0.380758957,-0.059577253,0.2994864943,-0.155107236,0.4821513151,0.4908534118,-0.044944508,1,fac7,1
v000048,-0.158956844,-0.038125,-0.031774221,0.2940174489,-0.098990375,0.7291239413,0.3437423232,-0.033101976,1,fac6,1
v000049,-0.24740157,-0.219085923,-0.151994397,-0.011178257,0.0884070289,-0.240063866,0.0514876744,-0.285764508,0,,
v000050,0.4067593971,0.420847149,-0.219261702,0.1142781534,0.4254952569,0.0640549441,-0.032615042,-0.228067285,1,fac5,1
v000051,-0.074518032,0.1190639086,0.2085197983,-0.031484397,0.9096040472,-0.212703634,-0.246942323,0.0032032611,1,fac5,1
v000052,0.142599537,0.2637014291,0.3053917944,0.059111951,-0.144788042,0.1121211746,0.0159328653,0.0475593855,1,fac3,1
v000053,-0.047129518,-0.05894243,-0.032919906,0.0368253344,0.0245102705,-0.107479523,-0.030752236,0.0258509655,0,,
v000054,-0.47668067,0.0994890981,0.2465012032,-0.149713665,0.1940457321,-0.052276737,0.4331896232,-0.164522379,1,fac1,-1
v000055,0.3858663015,0.1937998975,0.0090648156,-0.084710013,0.1113029302,0.4861645333,0.0461517617,-0.08278027,1,fac6,1
v000056,-0.43200497,0.1610834583,-0.449508812,-0.252301574,0.0144257056,-0.329618357,0.1521343033,0.1059587101,1,fac3,-1
v000057,0.0938079717,0.2121322558,0.0660766039,0.1788139488,-0.046086081,0.443400693,-0.466020328,-0.522014959,1,fac8,-1
v000058,0.3325711613,0.0983351511,0.1413807533,-0.040463125,-0.611994178,0.0379559514,-0.485053507,0.1515715862,1,fac5,-1
v000059,0.1288452927,-0.158248106,0.08899358,0.0751252817,-0.114321881,-0.305300211,0.3394658973,-0.100294106,1,fac7,1
v000060,-0.455443778,0.2166349032,-0.242488382,0.0120460055,-0.109851291,-0.039811854,0.0013782029,0.2668764513,1,fac1,-1
v000061,-0.21750712,-0.144208935,-0.274249969,0.0335674883,-0.369385476,0.546971763,-0.049306729,0.0123043226,1,fac6,1
v000062,0.07582664,-0.05630141,0.1537202574,0.4563747648,0.1544993846,-0.062081303,0.0894314873,0.0566021519,1,fac4,1
v000063,-0.288015758,0.2171677233,0.1127246493,0.2052669322,0.1041615826,0.1557538452,0.4370403464,-0.265961762,1,fac7,1
v000064,0.0593619906,0.0052352985,-0.192490246,0.3490577128,0.1072532266,-0.104247392,-0.084104844,-0.124608313,1,fac4,1
v000065,0.2571366229,0.2365587891,0.0238547352,0.291929445,0.0723444818,0.1575980182,-0.290662865,0.075104896,0,,
v000066,-0.384499103,-0.072331437,0.0256467761,-0.180891945,-0.082447507,-0.24513805,-0.176315245,-0.133336511,1,fac1,-1
v000067,0.1172647281,-0.592500604,-0.049718786,0.0152813101,-0.103072392,-0.130693431,0.3144951916,-0.144111569,1,fac2,-1
v000068,0.0545009884,-0.154246775,0.1810057049,-0.227218777,-0.181343291,0.2447244994,0.0942370864,0.0029698448,0,,
v000069,0.0898440592,0.0981885334,-0.11623037,-0.025833177,0.0353556824,-0.003775357,-0.253243551,0.1178947594,0,,
v000070,-0.038710653,-0.270995596,-0.121956903,-0.05109132,0.0538678694,0.0553594605,0.3690493284,0.2565485228,1,fac7,1
v000071,-0.480696803,0.0930328795,0.1839242665,-0.175218035,-0.221809243,-0.375529421,0.0641130264,-0.114252573,1,fac1,-1
v000072,-0.097675792,0.0548280962,-0.031641492,-0.017113441,0.2195263767,-0.077947248,0.3982997886,0.1778003638,1,fac7,1
v000073,-0.042503252,0.1369482151,0.0433964566,-0.009408168,-0.009608559,0.1519629337,-0.030441678,0.0210398349,0,,
v000074,0.3542242677,0.0684097627,-0.223714385,0.0227947206,0.1792078453,0.0890984348,0.0456244273,-0.202537422,1,fac1,1
v000075,0.5544403042,0.0688922415,0.1485258158,0.0947998171,0.1960705456,0.2472847232,0.0602969348,-0.074540446,1,fac1,1
v000076,0.1764024929,0.2378562975,0.11281333,0.1927936363,0.0705251277,0.0367397646,-0.187554948,0.0632562799,0,,
v000077,-0.078564291,-0.421778414,-0.047154985,0.0407854127,0.0136805131,-0.252255643,0.0265216178,0.0099718896,1,fac2,-1
v000078,0.2680110709,-0.092876256,0.1908889636,-0.27287913,-0.211604193,-0.158094627,0.3199553686,-0.093465591,1,fac7,1
v000079,-0.456741854,-0.242251437,-0.183920012,-0.346951643,-0.216667709,-0.256837381,-0.059968378,-0.116860742,1,fac1,-1
v000080,0.0154564162,0.145230811,-0.191812623,0.16741025,0.2922491985,0.2223966621,-0.186611769,0.2546643321,0,,
v000081,-0.127631178,0.0442865441,-0.008760369,0.3312541154,-0.123045943,0.2876967247,-0.011144759,-0.173562904,1,fac4,1
v000082,0.2897320036,0.0608942668,0.3970830566,-0.138832717,-0.156178755,-0.046839786,-0.317811304,0.3144928547,1,fac3,1
v000083,0.6562819936,-0.07751325,0.0524409027,0.2449867796,0.1127286462,-0.246659339,-0.039349972,-0.055702481,1,fac1,1
v000084,0.4123741932,-0.53240654,0.0286861215,-0.412336802,0.37523089,-0.130740789,0.258659845,-0.075452017,1,fac2,-1
v000085,0.1460452737,-0.026353826,0.3952968007,-0.073661636,0.1555275466,0.3383357368,-0.223590056,0.1894533923,1,fac3,1
v000086,0.5681743003,-0.193747303,-0.083312174,0.4969151136,-0.142207324,-0.55698553,0.1409567216,-0.085331119,1,fac1,1
v000087,0.2883428812,0.2860622487,-0.196436906,-0.044790402,0.1582029573,-0.238255054,0.0843393502,-0.270673602,0,,
v000088,-0.136924219,-0.099676582,0.1374590567,-0.213148058,-0.017032304,0.2025199773,0.2529699268,0.2108087952,0,,
v000089,0.5239233006,-0.275788996,0.3043800977,-0.001963788,-0.51591593,-0.361128629,-0.201885772,-0.411959539,1,fac1,1
v000090,-0.232746907,0.0075298187,0.3564079224,-0.319299987,-0.006997009,0.1061251422,-0.102801322,-0.374448612,1,fac8,-1
v000091,0.7660230617,-0.095965122,-0.005841414,-0.182663889,0.1060565194,-0.049268934,-0.020411233,0.0135922152,1,fac1,1
v000092,0.2961785906,0.3886466062,-0.586383019,-0.406214686,-0.272954909,0.058690341,-0.288596553,0.1731051461,1,fac3,-1
v000093,0.4240034547,0.191263237,-0.199541765,0.2898146971,0.3243495303,0.1058003215,-0.052087514,-0.102669044,1,fac1,1
v000094,-0.091849914,-0.058310583,0.1227303775,-0.306398614,0.226039916,0.203302344,0.4615620781,0.1394736522,1,fac7,1
v000095,0.3698124003,-0.077788462,0.1807631587,-0.259508157,-0.437376756,0.2567482688,-0.130419821,-0.117454118,1,fac5,-1
v000096,0.1611692783,-0.022970394,0.03650047,-0.079283822,0.2782397865,0.0158553484,0.0551659514,-0.203682208,0,,
v000097,0.1802497126,0.24954626,0.2569100811,0.1070052729,0.3020804793,0.2601431432,-0.415572459,-0.273804743,1,fac7,-1
v000098,0.0341645405,0.1168675511,0.102844996,-0.041912363,-0.012471973,-0.064051866,-0.208870943,-0.040909143,0,,
v000099,0.0132515069,0.2053586081,-0.051305995,0.4376937076,0.265519886,0.0989730165,0.1006846499,-0.150164352,1,fac4,1
v000100,0.0421313054,0.0102687182,-0.076249309,0.087973566,-0.103682312,-0.027544364,0.0049470016,0.017291154,0,,
v000101,0.0090545835,0.2915482125,-0.10134604,0.2130295375,-0.006588795,0.1378326289,0.2481201053,0.1428124538,0,,
v000102,-0.149581898,-0.318840697,-0.126703869,-0.233318743,0.7054826714,-0.179107365,-0.340193895,0.0457819151,1,fac5,1
v000103,0.0625066511,0.0643880771,-0.41663381,-0.140222805,-0.295779179,-0.241837068,-0.111662545,0.8179836397,1,fac8,1
v000104,0.2866384868,-0.29765265,-0.075851594,-0.067079579,0.0569229305,-0.391446846,-0.364132915,0.3275520643,1,fac6,-1
v000105,-0.185490794,0.5285006437,0.2578509792,-0.150881824,-0.399745463,-0.012169939,0.1355976087,-0.010119371,1,fac2,1
v000106,-0.016445093,0.0087830952,0.2199204162,-0.072522752,-0.121004154,0.0875460811,0.14031808,-0.277710076,0,,
v000107,0.7169867189,0.1326666648,0.0305130315,0.2229656503,0.2683931886,-0.458110585,-0.014927421,0.2344751239,1,fac1,1
v000108,-0.308644621,-0.072795329,0.0605261708,-0.298460729,-0.226845643,0.5286430497,0.0568432691,-0.014765793,1,fac6,1
v000109,0.1736367061,-0.422647126,0.0077876716,0.0746038462,-0.187638068,-0.025261302,0.4968779457,-0.031060258,1,fac7,1
v000110,0.1397314716,0.1335424905,-0.152915504,0.1995457761,0.0689288347,0.4495053869,-0.026477505,0.1152449504,1,fac6,1
v000111,-0.054936882,-0.130445657,0.0767905732,-0.00598129,0.0062667222,0.0476214948,0.2206033846,-0.15970574,0,,
v000112,0.6871444508,-0.501042277,0.1588408179,0.0458135096,-0.17468291,-0.071700689,-0.277124287,-0.06099099,1,fac1,1
v000113,0.1415936056,0.0120726963,0.0020509537,0.1899018769,0.1621674888,-0.032254783,-0.108343939,0.0256280964,0,,
v000114,-0.461677895,-0.235675697,0.0849379336,-0.258002835,0.0890822312,-0.22869403,0.6337610026,-0.193114853,1,fac7,1
v000115,0.1873381478,-0.01617776,0.1693741529,0.2376965322,0.1759905126,-0.008270709,-0.085165746,-0.005486959,0,,
v000116,0.6152991904,0.1577670548,0.4123477003,-0.036817883,-0.115853037,0.1944957906,-0.005487869,-0.075512305,1,fac1,1
v000117,0.4216632925,0.0228378351,0.202898528,-0.291698104,-0.381855119,0.4328851643,0.1869737068,-0.021995817,1,fac6,1
v000118,0.271480406,0.0318850228,0.0647466953,0.0684681441,0.4279808662,0.1672514821,0.1679105414,-0.096098039,1,fac5,1
v000119,-0.156942411,0.5054011327,0.0332642094,0.1979103854,0.2787464317,0.2820568825,0.2265577864,0.0677229412,1,fac2,1
v000120,-0.161685231,0.032136612,-0.258976829,-0.26010377,-0.321906496,0.3300722546,-0.141796065,-0.192429612,1,fac6,1
v000121,0.1497372611,-0.483947211,0.0149836723,0.2176025297,0.0490368772,-0.031025743,0.2191386629,0.0421660976,1,fac2,-1
v000122,0.0366715495,-0.143711471,0.0111203211,-0.039841136,0.5644432685,0.1732011477,0.4390419161,0.0983190609,1,fac5,1
v000123,-0.05150873,0.0781371399,0.1798440443,0.1502252411,-0.046673628,0.0506454042,0.1068347128,0.1282591182,0,,
v000124,0.1374317557,0.277297793,0.0863016031,0.3755037563,0.2019772607,-0.111454861,0.0303134323,-0.005520283,1,fac4,1
v000125,0.2322730222,0.5310394692,0.6611038919,0.2896010059,-0.320136,-0.104432255,-0.176770722,-0.045052578,1,fac3,1
v000126,0.0932672792,0.0039075059,0.3019997346,-0.212206406,0.0078749849,-0.057765714,0.5563517957,0.0202448217,1,fac7,1
v000127,0.2080908251,0.0181725829,0.1675198588,-0.485666142,0.3578899088,0.0339187028,0.2287474977,-0.024249083,1,fac4,-1
v000128,-0.118281203,-0.262985501,-0.235070313,-0.234948208,0.0142667134,-0.056678613,0.260786289,-0.248646537,0,,
v000129,-0.146652604,-0.040481471,-0.081333747,-0.04574203,-0.080481594,0.9704236629,-0.246580263,-0.049603492,1,fac6,1
v000130,-0.036818752,-0.277558496,0.2704830309,-0.151353633,0.766497542,-0.338808059,0.0384331669,0.2735906876,1,fac5,1
v000131,-0.141038769,-0.077473955,0.2292362609,0.0904808467,-0.059397993,0.2578717746,0.2971628697,-0.170022775,0,,
v000132,0.0643230453,0.7896932182,-0.086769423,-0.101463995,0.3145672869,-0.515150142,0.162523731,-0.466098739,1,fac2,1
v000133,-0.058240822,0.139211368,-0.117170215,0.0172482034,0.4441936764,0.3066846438,-0.28298561,-0.031273422,1,fac5,1
v000134,0.2936582578,0.0013471471,-0.154313169,-0.242093756,-0.476249866,0.2141198675,-0.403071884,-0.114177322,1,fac5,-1
v000135,0.2378869622,0.4814979079,-0.135843868,0.2461042239,-0.126683036,-0.077226841,0.3832863031,0.0211199399,1,fac2,1
v000136,-0.203687574,0.0767846299,-0.168026651,0.3591490924,0.2153646826,0.0897308787,0.2554470708,0.1215169105,1,fac4,1
v000137,-0.036201751,0.1668637981,0.1995061608,-0.136150548,0.0934892648,-0.020300753,0.3287980149,-0.011823006,1,fac7,1
v000138,-0.153061959,-0.148995955,-0.169077255,0.0118597892,0.0855334489,-0.209044551,0.0913944539,-0.298078518,0,,
v000139,0.4011688455,0.0627824142,0.0609301064,0.1535621936,0.1722349936,0.0596499895,-0.183478666,0.1485565503,1,fac1,1
v000140,0.1432226968,0.2857613314,0.2609246377,-0.569094383,0.0998228319,-0.008520449,0.1113168276,-0.3230403,1,fac4,-1
v000141,-0.211373815,0.1100284395,-0.411203818,0.039214838,0.5133685616,-0.331253446,0.1067963952,0.0403497321,1,fac5,1
v000142,0.0743543879,-0.089663492,0.6114595768,0.4202797875,0.0837936391,-0.262311938,-0.191928201,0.0464379654,1,fac3,1
v000143,-0.471030967,-0.054930854,-0.047628023,-0.475413288,-0.101794977,-0.067693072,0.034749049,-0.136704982,1,fac4,-1
v000144,0.0776610225,-0.012222929,0.2350637786,0.1186495612,-0.223153846,0.1053409746,0.125325949,0.0033657975,0,,
v000145,-0.213677564,0.9060629998,-0.127236887,0.0828434851,0.3063442143,0.0981237182,-0.162915576,-0.000170597,1,fac2,1
v000146,-0.139035065,0.2553154026,-0.184646484,0.1799351303,0.2965494819,0.2395749632,0.292682906,0.0740620865,0,,
v000147,-0.149116523,0.0241587672,0.1869684626,0.6167729573,0.2663666717,-0.278555752,0.0393548266,0.2062653307,1,fac4,1
v000148,0.6012797782,0.1040892681,0.1221341564,-0.081312792,-0.435296213,0.0300507772,-0.538117073,-0.35935712,1,fac1,1
v000149,0.1914916384,-0.002626328,-0.095247252,0.182501425,0.2186933071,0.1068161129,0.0976718901,-0.238997067,0,,
v000150,-0.032440457,-0.180445277,-0.045877995,0.1045032151,0.0552478325,0.2979627161,0.0595949234,0.53172346,1,fac8,1
v000151,0.43707495,-0.20345003,0.1222451358,0.1340135427,0.2061495898,0.5198701856,0.1208001172,-0.089236958,1,fac6,1
v000152,0.2069892738,0.2195378523,0.4434968186,0.2709818124,0.1786850652,-0.190541519,0.3093210133,-0.221026925,1,fac3,1
v000153,-0.14724462,-0.534248845,0.1060818588,0.1028543226,0.1052408955,-0.012989798,0.3220669616,0.1048885,1,fac2,-1
v000154,-0.240797532,-0.224202709,-0.091240223,-0.365397773,-0.270060497,0.1525139943,0.4637556522,0.1215462454,1,fac7,1
v000155,0.0859608966,0.4454644956,-0.007256066,-0.083221151,-0.09459086,0.431553082,0.4975594885,-0.003360878,1,fac7,1
v000156,-0.249877895,0.5542711701,-0.30351843,-0.073770724,0.5191258113,-0.118936603,0.103416661,0.0706480155,1,fac2,1
v000157,0.3119563859,-0.427141762,-0.545839711,0.0198903457,0.0902429034,-0.286324383,-0.085426832,0.5186740727,1,fac3,-1
v000158,-0.272088223,-0.664145512,-0.147567637,0.6392989324,-0.085774262,-0.198800475,-0.123246983,0.0133218289,1,fac2,-1
v000159,0.0137522549,0.3615248631,-0.150399034,0.2586481588,-0.166669097,0.1036437299,-0.098340098,0.4462857751,1,fac8,1
v000160,-0.180050099,0.2019490497,0.1627730147,0.1140441248,0.0645674622,-0.06043991,0.4590936529,-0.021832494,1,fac7,1
v000161,0.0791113435,-0.04730507,0.5476490993,0.1952281679,-0.308003303,-0.071000133,-0.41647387,0.2662262617,1,fac3,1
v000162,0.3260011128,0.4511350606,-0.410706702,-0.24612837,-0.209100234,-0.064273396,0.0312763233,-0.056280515,1,fac2,1
v000163,-0.569059993,-0.394772852,-0.170016474,0.0386592456,-0.143916986,-0.133121211,0.1406345346,0.0707501526,1,fac1,-1
v000164,-0.357483552,0.6054447533,0.2023174389,-0.201563552,0.1443630817,-0.494791393,-0.088987207,-0.008441372,1,fac2,1
v000165,0.0367849217,-0.077904094,0.1393827328,-0.046603873,-0.063790943,-0.227475289,0.2177209717,-0.030748636,0,,
v000166,-0.239838077,0.2202941693,-0.538857852,0.1912182196,-0.162042815,0.3907427987,0.2407218109,0.0849763439,1,fac3,-1
v000167,-0.082706788,0.7737380742,0.1954429181,-0.480288291,0.0817133665,-0.146074317,0.2340800519,-0.330062842,1,fac2,1
v000168,-0.018693917,-0.087926915,0.1656121834,-0.491804709,0.0457721914,0.0651865431,0.4711785257,-0.258666496,1,fac4,-1
v000169,0.3507579864,0.1332615341,0.1646370011,0.1190647677,0.1772057649,0.1675661302,0.0484480813,-0.001268344,1,fac1,1
v000170,-0.042200268,-0.120133807,0.3278071096,0.0601041765,0.1691528552,0.0038708365,0.0415743631,0.0701515917,1,fac3,1
v000171,0.2169527531,0.7586084551,0.5303060932,-0.087593512,-0.176741822,-0.166721823,-0.22262553,0.0765917996,1,fac2,1
v000172,-0.060933302,0.2085647966,0.5151476197,-0.05271549,-0.066845889,-0.104737706,0.1261778978,-0.026008985,1,fac3,1
v000173,-0.008358616,-0.346884185,-0.249204488,-0.145472666,0.8484881553,-0.236891857,-0.010463262,0.0723689039,1,fac5,1
v000174,-0.13716779,0.0222553046,0.2175041466,0.194084584,-0.023133663,0.592338641,-0.207586806,0.1614025522,1,fac6,1
v000175,0.0712148672,0.1344249157,0.0455074008,0.2517627921,0.6887273927,0.0097570585,-0.211764563,-0.325338834,1,fac5,1
v000176,0.3713499072,0.3918892699,-0.040460475,-0.058639748,0.1553244286,0.284690109,-0.271011403,0.1972931336,1,fac2,1
v000177,-0.155743919,0.2144207094,-0.060157812,-0.051862909,0.0208982326,0.0019099393,0.0721897501,-0.028564459,0,,
v000178,0.1850581938,-0.313473582,0.3234923587,0.0640666185,0.0113529871,0.143059194,0.6347137286,0.0480990595,1,fac7,1
v000179,0.6732546884,-0.095245865,0.2802070508,0.2283613699,-0.006978929,-0.039756435,-0.115860287,0.0961929146,1,fac1,1
v000180,0.7458816911,-0.665688618,0.1496741369,0.1462307108,0.0911625542,-0.124710011,0.1579370805,0.0340600632,1,fac1,1
v000181,-0.050113581,-0.333063659,0.2238265432,0.1267748932,-0.040916011,-0.183992712,0.1641572023,-0.077789701,1,fac2,-1
v000182,-0.25245552,-0.054331767,0.2371460883,0.1591446904,-0.272908611,-0.378324422,-0.175707822,0.0292538816,1,fac6,-1
v000183,0.0087168386,-0.221807904,0.3294306107,-0.050301368,-0.088657451,0.3078129604,0.1116029658,0.4382928832,1,fac8,1
v000184,0.000653499,-0.461714998,-0.275800062,-0.32482951,-0.344949807,-0.13300936,-0.100059222,-0.0133325,1,fac2,-1
v000185,0.1586721383,0.1114445909,-0.148009165,0.1947735238,0.2944076057,-0.388340671,0.0034924683,-0.330902285,1,fac6,-1
v000186,0.005241527,0.4410185623,-0.153988641,-0.02255287,0.1283242438,0.1652004574,0.3260858901,0.0787530712,1,fac2,1
v000187,-0.404820485,0.4156270247,-0.124457444,0.1897965342,-0.023258876,0.1966830946,0.2251116774,0.167797594,1,fac2,1
v000188,0.0059693115,0.0729342867,0.4638226833,0.105471513,-0.264054711,0.1179910112,0.4250527977,-0.247094021,1,fac3,1
v000189,0.3193703312,-0.39381538,0.2630638256,0.1527604131,-0.019149955,-0.094656477,0.1209565625,-0.085986747,1,fac2,-1
v000190,0.6777429784,0.4109850355,-0.131421073,-0.043585005,-0.70014912,-0.287426599,-0.044104974,0.1366156098,1,fac5,-1
v000191,-0.033061335,-0.122074461,0.0627752962,0.2607179591,0.2971417754,-0.08402728,0.2835058099,-0.172741301,0,,
v000192,0.0472261026,0.0560672156,0.1536401489,0.5539926369,0.5504931822,0.0681297946,0.2792337569,-0.089126059,1,fac4,1
v000193,1.0107621206,-0.129259604,0.1023386612,-0.300803909,0.0394913189,-0.103365826,-0.129137045,0.1673386109,1,fac1,1
v000194,1.0073841151,-0.259824575,-0.021097088,-0.215763514,0.2222374102,-0.049319325,-0.043997159,0.3057170185,1,fac1,1
v000195,-0.058678914,0.2333280726,-0.076419048,0.2272103494,0.0674524185,0.6376574493,-0.288064151,-0.104281854,1,fac6,1
v000196,0.0699704343,0.0110688691,0.4838140034,-0.048973227,0.0108011927,0.104419992,-0.297472881,-0.150047793,1,fac3,1
v000197,-0.357983448,-0.12724114,-0.198553318,0.5625462485,0.1723896987,-0.297482498,0.0918107809,-0.035164302,1,fac4,1
v000198,0.1048435792,0.0608937798,0.5081305151,-0.015277776,0.0303972938,0.0429255067,0.084643897,0.081852431,1,fac3,1
v000199,-0.086401432,0.2997251729,0.3121931106,-0.554021138,0.1194831967,-0.326834767,0.2748042999,-0.195805999,1,fac4,-1
v000200,0.1770139664,-0.052344751,0.400058026,-0.097723302,0.1164088337,-0.041940667,0.1429990078,-0.032718243,1,fac3,1
v000201,0.1787171723,-0.230109661,0.0945421298,-0.008889212,-0.113557796,0.1499994809,0.059234436,-0.035967314,0,,
v000202,-0.13885649,0.4327500388,-0.340100252,-0.084954915,0.6851146027,-0.095518372,0.0826612459,-0.137463156,1,fac5,1
v000203,0.6200066377,-0.10583377,-0.047966329,-0.020744694,-0.164224297,0.0845031769,0.0764345266,-0.138869308,1,fac1,1
v000204,-0.108440996,0.5750409183,0.3765860372,-0.21173265,-0.127448501,-0.103218327,-0.226114537,-0.161277974,1,fac2,1
v000205,0.1213709367,0.4132402021,-0.038370407,0.0535654081,0.0983310645,0.1100927318,0.2476725209,-0.181574879,1,fac2,1
v000206,0.720547022,-0.038224409,-0.181176017,0.2416978729,0.2472333765,-0.12013314,0.387854973,-0.168383782,1,fac1,1
