_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,loaded,factor,pole
v000001,-0.302549705,0.4039818439,0.4168327392,0.0027197095,0.140692469,-0.105472985,-0.085889694,0.2155165846,1,fac3,1
v000002,0.0657805042,-0.061597145,0.0730612027,0.4731606132,0.0895663684,-0.14027075,0.0695765708,-0.085951493,1,fac4,1
v000003,-0.086986248,0.3435354605,0.1018293857,-0.018589935,-0.275686802,0.3003777955,-0.284323201,0.4712906577,1,fac8,1
v000004,0.0880070226,0.0079731225,-0.009641523,0.0384145669,0.5092017335,0.1828523814,0.2591814925,-0.163899566,1,fac5,1
v000005,-0.13971129,0.1716801977,-0.021822148,-0.198317549,-0.360587629,0.5199872905,-0.393480659,0.0577396292,1,fac6,1
v000006,-0.029660583,0.2085246731,-0.150378776,0.2123632789,0.211270237,0.079825759,0.1002124186,0.189612265,0,,
v000007,-0.148569435,-0.42229998,-0.021732896,-0.049774928,-0.444598596,-0.351958431,0.3195135296,0.3164550462,1,fac5,-1
v000008,-0.347569787,-0.106559732,-0.098273928,0.0216517665,-0.147389633,0.0526334822,0.1812269759,0.1194902804,1,fac1,-1
v000009,0.8659310277,0.3210738063,0.1186094752,0.1623495362,-0.26853891,-0.394243994,0.0895823541,0.3719898897,1,fac1,1
v000010,-0.08701614,0.3046677681,0.6122778041,0.2163127036,-0.003696661,0.1869986796,-0.311861573,0.1370904513,1,fac3,1
v000011,0.1278348739,0.1461015729,0.5794689916,0.0013597524,0.5385054073,0.0192154496,-0.092931247,-0.251996796,1,fac3,1
v000012,-0.335617366,0.0260385969,-0.005095303,0.2290310988,0.3908824247,-0.106385935,-0.078035215,0.0397505384,1,fac5,1
v000013,0.3151781214,-0.074226436,0.1856069236,0.0825529962,-0.12298438,0.1250898993,0.068632236,-0.065262494,1,fac1,1
v000014,-0.120808394,-0.111608712,-0.159196056,-0.080567435,0.0321113157,-0.103415154,-0.25349454,0.1009015899,0,,
v000015,0.3017137599,0.7573401781,-0.632083519,-0.077871656,-0.135359732,-0.130954568,-0.043928724,0.0903673871,1,fac2,1
v000016,-0.40483487,0.097828857,-0.06870585,-0.370619452,0.0201502426,0.0720029674,0.6404007235,-0.044224873,1,fac7,1
v000017,-0.365907035,-0.304865208,0.1538490757,-0.065799932,-0.170913958,0.1514455703,-0.59649885,0.2425017205,1,fac7,-1
v000018,-0.168000845,0.0986747422,-0.020481131,0.0472625581,0.0928724237,0.5708027199,-0.317025969,0.1892473689,1,fac6,1
v000019,0.6864034989,-0.00350876,0.2103780759,-0.079789405,0.4346232089,0.1581596216,-0.214176002,0.1822194543,1,fac1,1
v000020,0.1054758598,0.1157765568,-0.201763739,0.0022717278,0.4592392955,0.2932574885,0.2088744967,0.1225612562,1,fac5,1
v000021,-0.037767228,-0.041491277,-0.184847666,0.5294920926,-0.094260349,-0.00642465,0.2139502265,-0.413937336,1,fac4,1
v000022,0.0926461527,-0.463174349,0.6076649982,0.2827609688,0.1545530318,-0.221071486,-0.081327365,0.1256455505,1,fac3,1
v000023,-0.158243965,-0.494936244,-0.131589608,-0.189281625,-0.01590062,-0.185030887,0.3944638066,-0.079132393,1,fac2,-1
v000024,0.0581303275,0.01694147,0.1961109741,0.1065467909,0.1851582986,0.1128899489,-0.107345733,-0.03405322,0,,
v000025,-0.411971316,0.1632263307,-0.082978644,0.0366791333,0.2469110548,-0.066802336,-0.21262554,-0.060961872,1,fac1,-1
v000026,0.1292565839,0.3209013227,0.0096313992,0.1738253913,-0.320497079,-0.294775117,-0.206404445,0.7325178156,1,fac8,1
v000027,-0.107013843,0.0368037302,0.2722652667,-0.02144166,-0.047750215,0.2472205561,-0.260454011,0.0132465247,0,,
v000028,-0.544421071,0.442931201,-0.070095027,0.1864046034,0.1701196661,-0.02916484,0.0132467559,0.2926701239,1,fac1,-1
v000029,-0.383452542,0.0408047416,-0.114091489,-0.410333312,-0.461781195,0.2011718055,0.1118728185,0.1586758011,1,fac5,-1
v000030,-0.127204106,-0.155702214,0.3352494453,0.214539967,0.1219174482,0.0555494722,-0.375578679,0.3508996182,1,fac7,-1
v000031,-0.422372319,0.0158642895,0.0082881649,0.0095493058,0.1579025599,-0.042814106,0.3691220423,-0.210343261,1,fac1,-1
v000032,0.0274884287,-0.059207996,0.1022188124,0.0408245627,0.9416819545,-0.04519299,0.1347313958,-0.078993864,1,fac5,1
v000033,0.0133426648,0.0134983112,-0.323847002,0.1106404699,0.2038514882,-0.441184458,0.0306102803,-0.261549737,1,fac6,-1
v000034,-0.181885141,0.1829791562,-0.638517974,-0.031453588,0.1240985568,-0.430552584,-0.47198243,-0.145745393,1,fac3,-1
v000035,0.2535371749,-0.534636889,0.1145500691,-0.575109157,-0.031565662,-0.061035723,0.0816189899,-0.159468057,1,fac4,-1
v000036,-0.133725172,0.0119504453,-0.463937377,0.1409154281,0.2368629883,-0.020402014,0.0191452522,-0.082354177,1,fac3,-1
v000037,0.1780108674,0.1435467261,0.0709090213,0.105483403,0.1961737971,0.0570493074,-0.181760839,-0.051498992,0,,
v000038,-0.297408588,-0.101903295,0.2437104669,-0.042032568,-0.166059998,0.1776741857,0.2962736235,-0.009924319,0,,
v000039,0.1306692965,-0.019225116,-0.288551514,-0.04643995,-0.234868482,0.1532023431,-0.346946912,0.4205638323,1,fac8,1
v000040,0.4544814477,0.045673456,0.1132956901,-0.334603825,0.1288215872,0.1598904561,0.0601471425,0.0155145975,1,fac1,1
v000041,0.0974347934,0.0866680942,-0.245199166,0.303745044,0.2963086465,0.040186771,0.1145214688,0.3226426168,1,fac8,1
v000042,-0.100336551,0.283135781,-0.086366403,-0.190972269,0.7453109067,0.1620883417,-0.081042471,0.1028507027,1,fac5,1
v000043,0.0138699641,0.1827922104,0.4059322707,0.1570935839,-0.036034755,0.2744277912,0.4006972962,-0.020429172,1,fac3,1
