Dependent	Source	DF	SS	MS	FValue	ProbF
fac4	Model	7	896.27184	128.03883	5.07	<.0001
fac4	Error	816	20605.02913	25.25126	_	_
fac4	Corrected Total	823	21501.30097	_	_	_
