_NAME_	COMMUNAL
v000069	0
v000106	0
v000266	0
v000381	0
v000450	0
v000544	0
v000716	0
v000784	0
v000958	0
v000962	0
v000972	0
v000439	0.2961882157
v000129	0.3049830311
v000281	0.3052839771
v000633	0.3148921183
v000680	0.3166923444
v000909	0.3590664186
v000517	0.3650831298
v000960	0.3694431416
v000718	0.3695840735
v000658	0.3737268959
v000564	0.3765021216
v000082	0.3828528901
v000057	0.3865623473
v000600	0.3892027244
v000906	0.392140716
v000306	0.4027426028
v000244	0.4076252773
v000445	0.4212961422
v000471	0.4311102761
v000447	0.4338183892
v000723	0.4414551137
v000691	0.444566709
v000444	0.44772679
v000923	0.4481759165
v000708	0.4521405438
v000140	0.4522722444
v000692	0.4621041606
v000218	0.4832426337
v000462	0.4872744254
v000936	0.4874018294
v000134	0.4950844764
v000573	0.503081075
v000629	0.5035699516
v000664	0.5098979403
v000567	0.5113056272
v000612	0.5127603626
v000968	0.5184326992
v000683	0.5195716181
v000586	0.5321404651
v000345	0.5412609745
v000681	0.5481455698
v000631	0.5515900159
v000138	0.55437529
v000479	0.5612526692
v000229	0.5711060141
v000347	0.5740677361
v000864	0.5748165696
v000285	0.5806556922
v000020	0.5926210951
v000341	0.6096887694
v000068	0.612540891
v000096	0.612573698
v000093	0.6149754221
v000918	0.6299041111
v000157	0.6346511558
v000665	0.6469234396
v000308	0.6500283068
v000224	0.6655474277
v000542	0.6714171979
v000294	0.6769692253
v000449	0.6796968899
v000959	0.6814753862
v000357	0.6897122151
v000932	0.6897327537
v000332	0.6934526991
v000532	0.6963377788
v000419	0.697549347
v000931	0.7061055038
v000071	0.7108195874
v000144	0.7112094636
v000598	0.7117656051
v000763	0.7142671135
v000602	0.725301096
v000094	0.7260608697
v000688	0.7396935018
v000074	0.7466086944
v000799	0.7474442303
v000927	0.7509309676
v000622	0.7584199017
v000771	0.7629985432
v000290	0.7708505624
v000640	0.7743593474
v000783	0.7746515481
v000154	0.7779029469
v000585	0.8227385797
v000747	0.8241457206
v000687	0.8275248456
v000569	0.8345449711
v000531	0.8364870357
v000845	0.8401552688
v000596	0.8439445968
v000110	0.851272908
v000824	0.8564881737
v000466	0.8649417357
v000813	0.8763705383
v000885	0.8916200901
v000951	0.8980510808
v000413	0.8985600176
v000849	0.9081953015
v000128	0.9205761967
v000637	0.9210558764
v000850	0.9222194944
v000752	0.92361459
v000561	0.925860365
v000551	0.9339819222
v000719	0.9348174269
v000746	0.9532756879
v000595	0.9576321479
v000127	0.9590839914
v000028	0.9639142172
v000557	0.9696194722
v000674	0.9903397674
