_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,loaded,factor,pole
v000001,0.0739759985,-0.559454438,-0.060062841,0.0224850324,-0.588955378,0.1918534044,-0.504053938,-0.196766794,1,fac5,-1
v000002,-0.636846448,-0.095685236,0.0415363554,0.1011949807,-0.004061011,0.0823458467,0.10890779,0.1963272622,1,fac1,-1
v000003,0.3002022733,-0.407675668,0.7839944963,-0.045733539,-0.181804469,0.1624555426,0.012221165,-0.036522676,1,fac3,1
v000004,-0.462035512,-0.068537052,-0.023393008,-0.15196568,0.1356303043,0.0341763571,0.2348214241,-0.061245356,1,fac1,-1
v000005,0.4402837524,-0.363566139,0.1493368514,-0.078024165,-0.441617725,-0.08923819,0.0600294921,-0.073728164,1,fac5,-1
v000006,-0.033775357,-0.128383085,0.5124856278,-0.215881021,-0.201311842,-0.623409243,-0.255875494,-0.225857623,1,fac6,-1
v000007,0.1895823334,-0.242585244,-0.221036847,0.1826970166,-0.227853419,0.0214680412,0.8800226336,-0.453780019,1,fac7,1
v000008,0.4648037878,0.3789087388,-0.159286717,0.4813598196,0.0051914313,-0.544838357,-0.276689504,-0.084111603,1,fac6,-1
v000009,-0.653396575,0.0112706211,-0.244083018,-0.08570915,0.0017333771,0.1483476944,-0.160509158,-0.237884038,1,fac1,-1
v000010,0.4444871077,0.0392113738,0.2862424496,0.0045473356,0.4097150341,0.5399962199,0.4217040281,-0.13333699,1,fac6,1
v000011,0.162516648,-0.292365518,0.4796840325,-0.070031697,1.0208755099,0.6095719341,-0.275048332,-0.084774114,1,fac5,1
v000012,0.1797233506,0.2628399978,0.0367983505,0.3605584916,-0.384293125,-0.283864436,-0.083950182,0.3539902678,1,fac5,-1
v000013,0.018554587,-0.029343203,-0.280049754,0.6365725668,0.3401206325,0.0793599734,0.0544782173,0.2298762883,1,fac4,1
v000014,-0.078109883,0.2096940475,-0.226036817,-0.808637954,0.1528761809,0.0351658333,-0.004808315,0.1287440862,1,fac4,-1
v000015,0.0557834826,-0.229726698,-0.231489829,0.5414943176,0.0522965805,-0.485198046,-0.22664961,0.3554028376,1,fac4,1
v000016,0.3784603949,-0.353814778,-0.270852412,-0.218515614,-0.156434476,0.192844384,-0.236062819,0.4797675192,1,fac8,1
v000017,0.3950717567,-0.363156072,-0.419108243,-0.114548942,-0.001065213,0.2113898538,-0.161432564,0.0956455653,1,fac3,-1
v000018,0.2539292001,0.2917566847,-0.414306717,-0.748035366,0.14381342,-0.187394965,0.1637510783,0.0060056681,1,fac4,-1
v000019,0.0284609884,-0.346306314,-0.598805761,-0.332379875,0.0074851287,0.3162697542,-0.30267515,0.0908137984,1,fac3,-1
v000020,0.4779907879,0.0989979226,-0.308598838,0.9081711161,0.4140102637,-0.165889245,-0.10465891,0.1565243142,1,fac4,1
v000021,0.13653423,0.0916907947,0.6264443689,0.1082286526,-0.528302706,-0.1970899,-0.304418455,0.2263399494,1,fac3,1
v000022,0.1049590399,0.7556849251,-0.364601195,0.304826821,0.0494187248,0.1006592798,0.0579162746,0.11536393,1,fac2,1
v000023,0.4676696215,-0.166951897,0.2234828874,0.4506460977,-0.345459033,-0.133153369,0.0076543155,0.4595303839,1,fac1,1
v000024,-0.056923992,0.1116301806,0.0188540898,-0.581073651,0.4574844872,0.0214149898,0.0247608904,-0.106733955,1,fac4,-1
v000025,0.3165885599,-0.252751663,-0.022229216,-0.01568988,-0.016994021,-0.072198975,0.0429736894,-0.130333564,1,fac1,1
v000026,-0.046059244,-0.045180752,-0.14171381,0.8709166158,-0.159307171,0.0668185494,0.1320870016,0.0179916415,1,fac4,1
v000027,0.2984946315,-0.406191172,0.84338703,0.0580656327,-0.198993078,-0.337110041,0.1315497169,-0.181097856,1,fac3,1
v000028,-0.696198303,-0.130138675,-0.058525258,0.2411296841,0.0233831278,-0.094585339,-0.097507811,-0.080595724,1,fac1,-1
v000029,0.1218410595,-0.106282739,-0.23225425,0.020344869,-0.058756915,0.0615913336,0.0760668685,1.1386803777,1,fac8,1
v000030,0.1008552713,-0.600068743,0.5690143859,0.0464070548,-0.133159191,0.3121055398,0.1900317167,-0.659813627,1,fac8,-1
v000031,0.2871771518,-0.053846265,-0.120216951,-0.388282325,-0.204610647,-0.322920277,-0.334906494,0.3712433745,1,fac4,-1
v000032,0.2001301163,0.2263215324,0.2024587472,-0.000127157,0.2167827388,0.0385077104,0.7160068093,-0.06341613,1,fac7,1
v000033,-0.494957605,-0.019976988,0.603821305,0.3445228628,-0.151544908,-0.172165252,-0.074766168,-0.383939514,1,fac3,1
