Dependent	Source	DF	SS	MS	FValue	ProbF
fac8	Model	7	15.3356608	2.1908087	3.40	0.0014
fac8	Error	812	523.5655587	0.6447852	_	_
fac8	Corrected Total	819	538.9012195	_	_	_
