Effect	decade	N	Mean fac8	SD fac8
decade	1950	103	0.44660194	1.48011761
decade	1960	103	0.04854369	0.80900133
decade	1970	103	-0.00970874	0.67874084
decade	1980	103	0.06796117	0.58178454
decade	1990	100	0.02000000	0.47097578
decade	2000	102	0.07843137	0.74043437
decade	2010	103	0.05825243	0.53915771
decade	2020	103	0.17475728	0.66313552
