When	WRB	when
you	PP	you
run	VBP	run
out	RP	out
of	IN	of
Ultra	JJ	ultra
Liquid	NP	Liquid
Tide	NP	Tide
,	,	,
do	VBP	do
n't	RB	n't
throw	VB	throw
it	PP	it
away	RP	away
.	SENT	.
Fill	VB	fill
her	PP	her
up	RP	up
with	IN	with
a	DT	a
new	JJ	new
Ultra	NN	ultra
Liquid	NP	Liquid
Tide	NP	Tide
refill	NN	refill
.	SENT	.
You	PP	you
're	VBP	be
using	VBG	use
less	JJR	less
plastic	NN	plastic
.	SENT	.
Less	JJR	less
plastic	NN	plastic
is	VBZ	be
good	JJ	good
for	IN	for
everyone	NN	everyone
,	,	,
and	CC	and
saving	VBG	save
money	NN	money
is	VBZ	be
good	JJ	good
for	IN	for
you	PP	you
.	SENT	.
