Hi	UH	hi
,	,	,
Mom	NP	Mom
.	SENT	.
My	PP$	my
princess	NN	princess
.	SENT	.
That	DT	that
fashion-forward	JJ	fashion-forward
wild	JJ	wild
child	NN	child
.	SENT	.
She	PP	she
says	VBZ	say
this	DT	this
new	JJ	new
Splash	NN	splash
juice	NN	juice
drink	NN	drink
is	VBZ	be
all	PDT	all
the	DT	the
rage	NN	rage
.	SENT	.
That	DT	that
everyone	NN	everyone
loves	VBZ	love
that	IN	that
light	JJ	light
taste	NN	taste
of	IN	of
tropical	JJ	tropical
fruit	NN	fruit
juices	NNS	juice
.	SENT	.
So	RB	so
would	MD	would
I	PP	I
tell	VB	tell
her	PP$	her
only	JJ	only
Splash	NN	splash
has	VBZ	have
100	CD	@card@
%	NN	%
of	IN	of
both	DT	both
vitamins	NNS	vitamin
A	NP	A
and	CC	and
C	NP	C
?	SENT	?
That	IN	that
it	PP	it
's	VBZ	be
good	JJ	good
for	IN	for
her	PP	her
because	IN	because
it	PP	it
's	VBZ	be
from	IN	from
V8	NP	<unknown>
?	SENT	?
Nah	NP	Nah
.	SENT	.
Why	WRB	why
shatter	VBP	shatter
her	PP$	her
living-on-the-edge	NN	<unknown>
image	NN	image
?	SENT	?
Especially	RB	especially
since	IN	since
she	PP	she
's	VBZ	be
finally	RB	finally
color-coordinated	JJ	color-coordinated
.	SENT	.
New	NP	New
V8	NP	<unknown>
Splash	NN	splash
.	SENT	.
Keep	VB	keep
the	DT	the
peace	NN	peace
.	SENT	.
