You	PP	you
do	VBP	do
n't	RB	n't
want	VB	want
an	DT	an
acne	NN	acne
medication	NN	medication
that	WDT	that
dries	VBZ	dry
up	RP	up
your	PP$	your
skin	NN	skin
while	IN	while
clearing	VBG	clear
your	PP$	your
zits	NNS	<unknown>
.	SENT	.
Discover	NP	Discover
Propa	NP	<unknown>
PH	NN	PH
,	,	,
a	DT	a
proven	JJ	proven
acne	NN	acne
fighter	NN	fighter
that	WDT	that
moisturizes	VBZ	moisturize
with	IN	with
alpha	NN	alpha
hydroxy	JJ	hydroxy
and	CC	and
aloe	NN	aloe
.	SENT	.
No	DT	no
zits	NNS	<unknown>
,	,	,
great	JJ	great
skin	NN	skin
.	SENT	.
Propa	NP	<unknown>
PH	NN	PH
,	,	,
the	DT	the
Propa	NP	<unknown>
way	NN	way
to	TO	to
clear	VB	clear
up	RP	up
your	PP$	your
skin	NN	skin
.	SENT	.
