lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
bacon	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
daily	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
thing	18	52	174.76	72.12	8.75	8.94	83.15	POSKW
wrong	6	8	58.25	11.1	1.75	7.97	136.0	POSKW
all-new	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
search	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
safety	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
technology	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
toilet	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
talk	8	19	77.67	26.35	3.38	5.53	98.67	POSKW
gotta	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
new	18	236	174.76	327.32	31.75	7.9	-60.77	NEGKW
give	6	106	58.25	147.02	14.0	6.47	-86.49	NEGKW
way	6	94	58.25	130.37	12.5	4.66	-76.47	NEGKW
look	11	138	106.8	191.4	18.62	4.1	-56.74	NEGKW
day	5	76	48.54	105.41	10.12	3.56	-73.87	NOTKW
travel	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
stay	6	16	58.25	22.19	2.75	3.44	89.66	NOTKW
nothing	8	27	77.67	37.45	4.38	2.85	69.88	NOTKW
make	15	161	145.63	223.3	22.0	2.82	-42.11	NOTKW
good	18	185	174.76	256.59	25.38	2.69	-37.94	NOTKW
help	17	75	165.05	104.02	11.5	2.67	45.36	NOTKW
perfect	7	23	67.96	31.9	3.75	2.66	72.22	NOTKW
cheese	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
wow	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
dollar	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
feature	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
house	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
amazing	4	12	38.83	16.64	2.0	1.85	80.0	NOTKW
stuff	4	12	38.83	16.64	2.0	1.85	80.0	NOTKW
use	21	105	203.88	145.63	15.75	1.84	33.33	NOTKW
thank	9	37	87.38	51.32	5.75	1.83	52.0	NOTKW
find	8	32	77.67	44.38	5.0	1.78	54.55	NOTKW
happen	5	17	48.54	23.58	2.75	1.75	69.23	NOTKW
change	8	33	77.67	45.77	5.12	1.61	51.69	NOTKW
baby	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
mom	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
pay	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
keep	6	67	58.25	92.93	9.12	1.37	-45.87	NOTKW
taste	5	58	48.54	80.44	7.88	1.35	-49.46	NOTKW
brand	6	24	58.25	33.29	3.75	1.34	54.55	NOTKW
kid	6	24	58.25	33.29	3.75	1.34	54.55	NOTKW
drop	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
kill	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
lady	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
prove	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
anything	6	25	58.25	34.67	3.88	1.17	50.75	NOTKW
everything	6	25	58.25	34.67	3.88	1.17	50.75	NOTKW
body	4	15	38.83	20.8	2.38	1.08	60.47	NOTKW
break	4	15	38.83	20.8	2.38	1.08	60.47	NOTKW
cause	4	15	38.83	20.8	2.38	1.08	60.47	NOTKW
gonna	5	21	48.54	29.13	3.25	0.95	50.0	NOTKW
tough	7	32	67.96	44.38	4.88	0.95	41.98	NOTKW
something	4	45	38.83	62.41	6.12	0.94	-46.58	NOTKW
know	19	105	184.47	145.63	15.5	0.85	23.53	NOTKW
start	8	39	77.67	54.09	5.88	0.8	35.79	NOTKW
work	7	68	67.96	94.31	9.38	0.75	-32.48	NOTKW
available	4	17	38.83	23.58	2.62	0.73	48.89	NOTKW
design	4	17	38.83	23.58	2.62	0.73	48.89	NOTKW
skin	4	17	38.83	23.58	2.62	0.73	48.89	NOTKW
mean	6	29	58.25	40.22	4.38	0.63	36.62	NOTKW
stop	6	29	58.25	40.22	4.38	0.63	36.62	NOTKW
clean	10	90	97.09	124.83	12.5	0.61	-25.0	NOTKW
year	8	41	77.67	56.87	6.12	0.61	30.93	NOTKW
say	11	60	106.8	83.22	8.88	0.55	24.82	NOTKW
great	8	73	77.67	101.25	10.12	0.54	-26.36	NOTKW
real	6	30	58.25	41.61	4.5	0.52	33.33	NOTKW
big	7	64	67.96	88.77	8.88	0.48	-26.55	NOTKW
air	4	19	38.83	26.35	2.88	0.46	38.3	NOTKW
check	4	19	38.83	26.35	2.88	0.46	38.3	NOTKW
game	5	25	48.54	34.67	3.75	0.44	33.33	NOTKW
lead	5	25	48.54	34.67	3.75	0.44	33.33	NOTKW
price	4	39	38.83	54.09	5.38	0.44	-32.84	NOTKW
feel	7	63	67.96	87.38	8.75	0.43	-25.0	NOTKW
put	5	47	48.54	65.19	6.5	0.43	-29.27	NOTKW
car	9	50	87.38	69.35	7.38	0.39	23.01	NOTKW
go	20	162	194.17	224.69	22.75	0.39	-14.57	NOTKW
home	4	38	38.83	52.7	5.25	0.37	-30.3	NOTKW
love	8	44	77.67	61.03	6.5	0.37	24.0	NOTKW
drive	6	32	58.25	44.38	4.75	0.35	27.03	NOTKW
hard	4	20	38.83	27.74	3.0	0.35	33.33	NOTKW
think	9	51	87.38	70.74	7.5	0.33	21.05	NOTKW
world	8	45	77.67	62.41	6.62	0.31	21.78	NOTKW
beautiful	4	37	38.83	51.32	5.12	0.3	-27.69	NOTKW
leave	4	37	38.83	51.32	5.12	0.3	-27.69	NOTKW
lot	4	37	38.83	51.32	5.12	0.3	-27.69	NOTKW
delicious	4	21	38.83	29.13	3.12	0.26	28.57	NOTKW
old	4	21	38.83	29.13	3.12	0.26	28.57	NOTKW
today	5	44	48.54	61.03	6.12	0.25	-22.78	NOTKW
see	16	127	155.34	176.14	17.88	0.23	-12.55	NOTKW
free	6	34	58.25	47.16	5.0	0.22	21.05	NOTKW
life	6	34	58.25	47.16	5.0	0.22	21.05	NOTKW
man	6	34	58.25	47.16	5.0	0.22	21.05	NOTKW
kind	5	28	48.54	38.83	4.12	0.2	22.22	NOTKW
save	4	35	38.83	48.54	4.88	0.19	-22.22	NOTKW
take	12	95	116.5	131.76	13.38	0.17	-12.29	NOTKW
people	7	57	67.96	79.06	8.0	0.15	-15.09	NOTKW
sure	5	29	48.54	40.22	4.25	0.14	18.75	NOTKW
let	12	75	116.5	104.02	10.88	0.13	11.32	NOTKW
need	9	70	87.38	97.09	9.88	0.09	-10.53	NOTKW
name	4	24	38.83	33.29	3.5	0.08	15.38	NOTKW
stain	4	24	38.83	33.29	3.5	0.08	15.38	NOTKW
time	14	106	135.92	147.02	15.0	0.08	-7.84	NOTKW
want	9	68	87.38	94.31	9.62	0.05	-7.63	NOTKW
come	15	99	145.63	137.31	14.25	0.04	5.88	NOTKW
introduce	6	46	58.25	63.8	6.5	0.04	-9.09	NOTKW
only	6	46	58.25	63.8	6.5	0.04	-9.09	NOTKW
more	15	100	145.63	138.7	14.38	0.03	4.88	NOTKW
place	4	30	38.83	41.61	4.25	0.02	-6.9	NOTKW
power	7	46	67.96	63.8	6.62	0.02	6.32	NOTKW
show	4	26	38.83	36.06	3.75	0.02	7.41	NOTKW
get	41	285	398.06	395.28	40.75	0.0	0.7	NOTKW
many	4	28	38.83	38.83	4.0	0.0	0.0	NOTKW
play	4	28	38.83	38.83	4.0	0.0	0.0	NOTKW
right	7	49	67.96	67.96	7.0	0.0	0.0	NOTKW
tell	4	27	38.83	37.45	3.88	0.0	3.64	NOTKW
try	10	71	97.09	98.47	10.12	0.0	-1.42	NOTKW
turn	4	29	38.83	40.22	4.12	0.0	-3.51	NOTKW
