lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
length	5	1	48.54	1.39	0.75	15.65	188.89	POSKW
nylon	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
new	51	203	495.15	281.55	31.75	11.56	55.0	POSKW
answer	6	5	58.25	6.93	1.38	11.13	157.45	POSKW
hold	9	14	87.38	19.42	2.88	10.38	127.27	POSKW
compact	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
hate	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
johnson	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
kenner	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
room	11	23	106.8	31.9	4.25	9.08	108.0	POSKW
sell	6	7	58.25	9.71	1.62	8.88	142.86	POSKW
make	36	140	349.51	194.17	22.0	8.77	57.14	POSKW
big	18	53	174.76	73.51	8.88	8.62	81.56	POSKW
man	12	28	116.5	38.83	5.0	8.52	100.0	POSKW
drink	6	8	58.25	11.1	1.75	7.97	136.0	POSKW
kitchen	6	8	58.25	11.1	1.75	7.97	136.0	POSKW
order	6	8	58.25	11.1	1.75	7.97	136.0	POSKW
play	10	22	97.09	30.51	4.0	7.71	104.35	POSKW
second	7	12	67.96	16.64	2.38	7.31	121.31	POSKW
point	5	6	48.54	8.32	1.38	7.24	141.46	POSKW
see	29	114	281.55	158.11	17.88	6.84	56.15	POSKW
plenty	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
seem	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
hour	6	10	58.25	13.87	2.0	6.45	123.08	POSKW
get	56	270	543.69	374.48	40.75	5.93	36.86	POSKW
look	29	120	281.55	166.44	18.62	5.78	51.39	POSKW
prevent	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
stick	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
happen	7	15	67.96	20.8	2.75	5.6	106.25	POSKW
use	25	101	242.72	140.08	15.75	5.4	53.62	POSKW
dealer	11	32	106.8	44.38	5.38	5.39	82.57	POSKW
keep	16	57	155.34	79.06	9.12	4.99	65.09	POSKW
american	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
black	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
stereo	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
great	17	64	165.05	88.77	10.12	4.56	60.11	POSKW
try	17	64	165.05	88.77	10.12	4.56	60.11	POSKW
stop	9	26	87.38	36.06	4.38	4.47	83.15	POSKW
close	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
wheel	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
ready	8	22	77.67	30.51	3.75	4.35	87.18	POSKW
little	14	50	135.92	69.35	8.0	4.34	64.86	POSKW
beautiful	10	31	97.09	43.0	5.12	4.31	77.23	POSKW
cost	7	18	67.96	24.97	3.12	4.27	92.54	POSKW
car	13	46	126.21	63.8	7.38	4.12	65.69	POSKW
land	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
school	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
set	7	19	67.96	26.35	3.25	3.9	88.24	POSKW
machine	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
hair	6	15	58.25	20.8	2.62	3.83	94.74	NOTKW
rich	6	15	58.25	20.8	2.62	3.83	94.74	NOTKW
sound	6	15	58.25	20.8	2.62	3.83	94.74	NOTKW
fresh	10	33	97.09	45.77	5.38	3.76	71.84	NOTKW
case	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
one	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
safety	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
single	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
young	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
low	8	25	77.67	34.67	4.12	3.39	76.54	NOTKW
same	9	30	87.38	41.61	4.88	3.31	70.97	NOTKW
taste	13	50	126.21	69.35	7.88	3.27	58.16	NOTKW
buy	11	40	106.8	55.48	6.38	3.25	63.25	NOTKW
place	8	26	77.67	36.06	4.25	3.11	73.17	NOTKW
company	6	17	58.25	23.58	2.88	3.09	84.75	NOTKW
food	6	17	58.25	23.58	2.88	3.09	84.75	NOTKW
good	34	169	330.1	234.4	25.38	3.07	33.91	NOTKW
own	9	31	87.38	43.0	5.0	3.06	68.09	NOTKW
cold	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
drop	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
music	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
reason	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
handle	4	9	38.83	12.48	1.62	2.99	102.7	NOTKW
say	14	57	135.92	79.06	8.88	2.95	52.9	NOTKW
full	5	14	48.54	19.42	2.38	2.63	85.71	NOTKW
hear	5	14	48.54	19.42	2.38	2.63	85.71	NOTKW
touch	5	14	48.54	19.42	2.38	2.63	85.71	NOTKW
fact	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
sign	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
eat	6	19	58.25	26.35	3.12	2.47	75.41	NOTKW
go	30	152	291.26	210.82	22.75	2.43	32.04	NOTKW
come	20	94	194.17	130.37	14.25	2.4	39.32	NOTKW
easy	12	50	116.5	69.35	7.75	2.34	50.75	NOTKW
clothes	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
coffee	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
formula	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
house	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
model	4	11	38.83	15.26	1.88	2.18	87.18	NOTKW
head	5	16	48.54	22.19	2.62	2.01	74.51	NOTKW
regular	5	16	48.54	22.19	2.62	2.01	74.51	NOTKW
store	5	16	48.54	22.19	2.62	2.01	74.51	NOTKW
wear	6	21	58.25	29.13	3.38	1.96	66.67	NOTKW
first	7	26	67.96	36.06	4.12	1.95	61.33	NOTKW
camera	4	12	38.83	16.64	2.0	1.85	80.0	NOTKW
fall	4	12	38.83	16.64	2.0	1.85	80.0	NOTKW
oil	4	12	38.83	16.64	2.0	1.85	80.0	NOTKW
sweet	4	12	38.83	16.64	2.0	1.85	80.0	NOTKW
dirt	5	17	48.54	23.58	2.75	1.75	69.23	NOTKW
spray	5	17	48.54	23.58	2.75	1.75	69.23	NOTKW
way	17	83	165.05	115.12	12.5	1.69	35.64	NOTKW
family	7	28	67.96	38.83	4.38	1.56	54.55	NOTKW
idea	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
mom	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
nothing	7	28	67.96	38.83	4.38	1.56	54.55	NOTKW
problem	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
shine	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
style	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
wonderful	4	13	38.83	18.03	2.12	1.56	73.17	NOTKW
ask	6	23	58.25	31.9	3.62	1.53	58.46	NOTKW
air	5	18	48.54	24.97	2.88	1.52	64.15	NOTKW
eye	5	18	48.54	24.97	2.88	1.52	64.15	NOTKW
flavor	5	18	48.54	24.97	2.88	1.52	64.15	NOTKW
test	5	18	48.54	24.97	2.88	1.52	64.15	NOTKW
time	11	109	106.8	151.18	15.0	1.33	-34.41	NOTKW
like	10	46	97.09	63.8	7.0	1.32	41.38	NOTKW
add	5	19	48.54	26.35	3.0	1.31	59.26	NOTKW
girl	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
job	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
night	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
open	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
prove	4	14	38.83	19.42	2.25	1.3	66.67	NOTKW
