lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
see	48	95	466.02	131.76	17.88	42.5	111.83	POSKW
remember	18	11	174.76	15.26	3.62	39.3	167.88	POSKW
famous	9	2	87.38	2.77	1.38	27.53	187.69	POSKW
wonderful	11	6	106.8	8.32	2.12	25.28	171.08	POSKW
give	34	78	330.1	108.18	14.0	24.73	101.27	POSKW
rca	8	2	77.67	2.77	1.25	23.8	186.21	POSKW
dealer	18	25	174.76	34.67	5.38	23.07	133.77	POSKW
new	59	195	572.82	270.46	31.75	22.1	71.71	POSKW
day	26	55	252.43	76.28	10.12	21.15	107.17	POSKW
fine	13	14	126.21	19.42	3.38	20.41	146.67	POSKW
suds	7	2	67.96	2.77	1.12	20.11	184.31	POSKW
other	22	44	213.59	61.03	8.25	19.23	111.11	POSKW
last	11	11	106.8	15.26	2.75	18.19	150.0	POSKW
fast	10	10	97.09	13.87	2.5	16.53	150.0	POSKW
take	29	78	281.55	108.18	13.38	16.4	88.97	POSKW
dissolve	5	1	48.54	1.39	0.75	15.65	188.89	POSKW
field	5	1	48.54	1.39	0.75	15.65	188.89	POSKW
weather	5	1	48.54	1.39	0.75	15.65	188.89	POSKW
quality	11	14	106.8	19.42	3.12	15.19	138.46	POSKW
way	27	73	262.14	101.25	12.5	15.13	88.55	POSKW
girl	9	9	87.38	12.48	2.25	14.88	150.0	POSKW
good	45	158	436.89	219.14	25.38	14.56	66.38	POSKW
big	21	50	203.88	69.35	8.88	14.46	98.48	POSKW
ingredient	8	7	77.67	9.71	1.88	14.41	155.56	POSKW
show	12	18	116.5	24.97	3.75	14.33	129.41	POSKW
lovely	6	3	58.25	4.16	1.12	14.3	173.33	POSKW
victor	6	3	58.25	4.16	1.12	14.3	173.33	POSKW
automatic	7	5	67.96	6.93	1.5	14.15	162.96	POSKW
easy	19	43	184.47	59.64	7.75	14.09	102.27	POSKW
make	40	136	388.35	188.63	22.0	14.02	69.23	POSKW
time	30	90	291.26	124.83	15.0	13.84	80.0	POSKW
break	9	10	87.38	13.87	2.38	13.81	145.21	POSKW
product	9	10	87.38	13.87	2.38	13.81	145.21	POSKW
own	14	26	135.92	36.06	5.0	13.37	116.13	POSKW
box	8	8	77.67	11.1	2.0	13.23	150.0	POSKW
course	8	8	77.67	11.1	2.0	13.23	150.0	POSKW
little	19	45	184.47	62.41	8.0	13.19	98.88	POSKW
golden	5	2	48.54	2.77	0.88	12.95	178.38	POSKW
many	12	20	116.5	27.74	4.0	12.91	123.08	POSKW
deep	7	6	67.96	8.32	1.62	12.77	156.36	POSKW
quick	7	6	67.96	8.32	1.62	12.77	156.36	POSKW
light	13	24	126.21	33.29	4.62	12.5	116.52	POSKW
buy	16	35	155.34	48.54	6.38	12.44	104.76	POSKW
right	17	39	165.05	54.09	7.0	12.36	101.27	POSKW
wash	12	21	116.5	29.13	4.12	12.25	120.0	POSKW
important	8	9	77.67	12.48	2.12	12.17	144.62	POSKW
much	8	9	77.67	12.48	2.12	12.17	144.62	POSKW
bright	9	12	87.38	16.64	2.62	11.95	136.0	POSKW
built-in	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
pleasure	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
sink	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
special	12	22	116.5	30.51	4.25	11.63	116.98	POSKW
kitchen	7	7	67.96	9.71	1.75	11.57	150.0	POSKW
reach	7	7	67.96	9.71	1.75	11.57	150.0	POSKW
fit	8	10	77.67	13.87	2.25	11.21	139.39	POSKW
lady	8	10	77.67	13.87	2.25	11.21	139.39	POSKW
safe	8	10	77.67	13.87	2.25	11.21	139.39	POSKW
portable	6	5	58.25	6.93	1.38	11.13	157.45	POSKW
cent	5	3	48.54	4.16	1.0	11.01	168.42	POSKW
thing	19	51	184.47	70.74	8.75	10.78	89.13	POSKW
look	33	116	320.39	160.89	18.62	10.65	66.28	POSKW
wear	10	17	97.09	23.58	3.38	10.53	121.84	POSKW
ordinary	7	8	67.96	11.1	1.88	10.52	143.86	POSKW
flavor	9	14	87.38	19.42	2.88	10.38	127.27	POSKW
child	6	6	58.25	8.32	1.5	9.92	150.0	POSKW
mother	6	6	58.25	8.32	1.5	9.92	150.0	POSKW
control	10	18	97.09	24.97	3.5	9.9	118.18	POSKW
friend	9	15	87.38	20.8	3.0	9.68	123.08	POSKW
delicate	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
example	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
flash	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
precision	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
prepare	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
rubber	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
styling	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
weight	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
handy	5	4	48.54	5.55	1.12	9.5	158.97	POSKW
use	28	98	271.84	135.92	15.75	9.13	66.67	POSKW
cost	9	16	87.38	22.19	3.12	9.03	118.99	POSKW
beauty	6	7	58.25	9.71	1.62	8.88	142.86	POSKW
exciting	6	7	58.25	9.71	1.62	8.88	142.86	POSKW
favorite	8	13	77.67	18.03	2.62	8.83	124.64	POSKW
go	37	145	359.22	201.11	22.75	8.81	56.44	POSKW
gift	7	10	67.96	13.87	2.12	8.75	132.2	POSKW
set	9	17	87.38	23.58	3.25	8.43	115.0	POSKW
hope	5	5	48.54	6.93	1.25	8.27	150.0	POSKW
send	5	5	48.54	6.93	1.25	8.27	150.0	POSKW
stay	8	14	77.67	19.42	2.75	8.17	120.0	POSKW
keep	18	55	174.76	76.28	9.12	8.0	78.45	POSKW
fact	6	8	58.25	11.1	1.75	7.97	136.0	POSKW
radio	6	8	58.25	11.1	1.75	7.97	136.0	POSKW
dinner	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
electric	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
kodak	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
refill	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
screen	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
soft	9	18	87.38	24.97	3.38	7.87	111.11	POSKW
white	10	22	97.09	30.51	4.0	7.71	104.35	POSKW
call	16	47	155.34	65.19	7.88	7.7	81.76	POSKW
air	8	15	77.67	20.8	2.88	7.56	115.49	POSKW
test	8	15	77.67	20.8	2.88	7.56	115.49	POSKW
world	14	39	135.92	54.09	6.62	7.44	86.13	POSKW
run	9	19	87.38	26.35	3.5	7.34	107.32	POSKW
wonder	7	12	67.96	16.64	2.38	7.31	121.31	POSKW
fresh	12	31	116.5	43.0	5.38	7.27	92.17	POSKW
price	12	31	116.5	43.0	5.38	7.27	92.17	POSKW
kind	10	23	97.09	31.9	4.12	7.25	101.08	POSKW
breakfast	6	9	58.25	12.48	1.88	7.17	129.41	POSKW
clothes	6	9	58.25	12.48	1.88	7.17	129.41	POSKW
mmm	6	9	58.25	12.48	1.88	7.17	129.41	POSKW
know	26	98	252.43	135.92	15.5	6.95	60.0	POSKW
sure	10	24	97.09	33.29	4.25	6.8	97.87	POSKW
detergent	7	13	67.96	18.03	2.5	6.69	116.13	POSKW
chevrolet	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
class	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
combination	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
detail	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
dirty	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
tube	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
color	12	33	116.5	45.77	5.62	6.53	87.18	POSKW
amazing	6	10	58.25	13.87	2.0	6.45	123.08	POSKW
most	6	10	58.25	13.87	2.0	6.45	123.08	POSKW
sweet	6	10	58.25	13.87	2.0	6.45	123.08	POSKW
extra	10	25	97.09	34.67	4.38	6.39	94.74	POSKW
mean	10	25	97.09	34.67	4.38	6.39	94.74	POSKW
dish	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
gentle	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
young	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
rich	7	14	67.96	19.42	2.62	6.12	111.11	POSKW
beautiful	11	30	106.8	41.61	5.12	6.07	87.85	POSKW
put	13	39	126.21	54.09	6.5	6.0	80.0	POSKW
build	8	18	77.67	24.97	3.25	5.98	102.7	POSKW
water	9	22	87.38	30.51	3.88	5.95	96.47	POSKW
work	17	58	165.05	80.44	9.38	5.91	68.93	POSKW
enjoy	6	11	58.25	15.26	2.12	5.82	116.98	POSKW
pay	6	11	58.25	15.26	2.12	5.82	116.98	POSKW
picture	6	11	58.25	15.26	2.12	5.82	116.98	POSKW
act	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
blend	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
cake	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
folk	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
large	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
motor	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
paper	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
serve	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
sun	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
bottle	7	15	67.96	20.8	2.75	5.6	106.25	POSKW
part	7	15	67.96	20.8	2.75	5.6	106.25	POSKW
car	14	45	135.92	62.41	7.38	5.59	74.13	POSKW
want	17	60	165.05	83.22	9.62	5.43	65.92	POSKW
come	23	91	223.3	126.21	14.25	5.31	55.56	POSKW
something	12	37	116.5	51.32	6.12	5.24	77.69	POSKW
get	55	271	533.98	375.87	40.75	5.21	34.76	POSKW
complete	5	9	48.54	12.48	1.75	4.95	118.18	POSKW
creamy	5	9	48.54	12.48	1.75	4.95	118.18	POSKW
soap	5	9	48.54	12.48	1.75	4.95	118.18	POSKW
television	5	9	48.54	12.48	1.75	4.95	118.18	POSKW
exclusive	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
listen	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
press	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
summer	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
hear	6	13	58.25	18.03	2.38	4.73	105.45	POSKW
month	6	13	58.25	18.03	2.38	4.73	105.45	POSKW
natural	6	13	58.25	18.03	2.38	4.73	105.45	POSKW
touch	6	13	58.25	18.03	2.38	4.73	105.45	POSKW
woman	7	17	67.96	23.58	3.0	4.68	96.97	POSKW
only	12	40	116.5	55.48	6.5	4.41	70.97	POSKW
close	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
mile	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
model	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
step	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
eat	7	18	67.96	24.97	3.12	4.27	92.54	POSKW
visit	7	18	67.96	24.97	3.12	4.27	92.54	POSKW
minute	6	14	58.25	19.42	2.5	4.26	100.0	POSKW
offer	6	14	58.25	19.42	2.5	4.26	100.0	POSKW
say	15	56	145.63	77.67	8.88	4.12	60.87	POSKW
lose	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
miss	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
rid	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
seat	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
tablet	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
tomorrow	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
blue	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
camera	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
choose	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
glass	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
hour	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
machine	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
cut	6	15	58.25	20.8	2.62	3.83	94.74	NOTKW
regular	6	15	58.25	20.8	2.62	3.83	94.74	NOTKW
sound	6	15	58.25	20.8	2.62	3.83	94.74	NOTKW
value	6	15	58.25	20.8	2.62	3.83	94.74	NOTKW
today	11	38	106.8	52.7	6.12	3.71	67.83	NOTKW
beat	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
case	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
cleaning	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
package	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
single	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
true	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
dirt	6	16	58.25	22.19	2.75	3.44	89.66	NOTKW
high	6	16	58.25	22.19	2.75	3.44	89.66	NOTKW
less	6	16	58.25	22.19	2.75	3.44	89.66	NOTKW
clean	19	81	184.47	112.34	12.5	3.41	48.6	NOTKW
engine	5	12	48.54	16.64	2.12	3.4	97.87	NOTKW
foot	5	12	48.54	16.64	2.12	3.4	97.87	NOTKW
first	8	25	77.67	34.67	4.12	3.39	76.54	NOTKW
turn	8	25	77.67	34.67	4.12	3.39	76.54	NOTKW
same	9	30	87.38	41.61	4.88	3.31	70.97	NOTKW
save	9	30	87.38	41.61	4.88	3.31	70.97	NOTKW
smooth	7	21	67.96	29.13	3.5	3.23	80.0	NOTKW
place	8	26	77.67	36.06	4.25	3.11	73.17	NOTKW
room	8	26	77.67	36.06	4.25	3.11	73.17	NOTKW
different	6	17	58.25	23.58	2.88	3.09	84.75	NOTKW
eye	6	17	58.25	23.58	2.88	3.09	84.75	NOTKW
hand	6	17	58.25	23.58	2.88	3.09	84.75	NOTKW
next	6	17	58.25	23.58	2.88	3.09	84.75	NOTKW
find	9	31	87.38	43.0	5.0	3.06	68.09	NOTKW
job	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
magic	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
night	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
prove	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
tv	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
discover	4	9	38.83	12.48	1.62	2.99	102.7	NOTKW
milk	4	9	38.83	12.48	1.62	2.99	102.7	NOTKW
roll	4	9	38.83	12.48	1.62	2.99	102.7	NOTKW
size	4	9	38.83	12.48	1.62	2.99	102.7	NOTKW
ask	7	22	67.96	30.51	3.62	2.93	76.06	NOTKW
america	8	27	77.67	37.45	4.38	2.85	69.88	NOTKW
family	8	27	77.67	37.45	4.38	2.85	69.88	NOTKW
stop	8	27	77.67	37.45	4.38	2.85	69.88	NOTKW
start	10	37	97.09	51.32	5.88	2.82	61.68	NOTKW
small	6	18	58.25	24.97	3.0	2.77	80.0	NOTKW
think	12	48	116.5	66.57	7.5	2.68	54.55	NOTKW
perfect	7	23	67.96	31.9	3.75	2.66	72.22	NOTKW
ready	7	23	67.96	31.9	3.75	2.66	72.22	NOTKW
boy	5	14	48.54	19.42	2.38	2.63	85.71	NOTKW
full	5	14	48.54	19.42	2.38	2.63	85.71	NOTKW
road	5	14	48.54	19.42	2.38	2.63	85.71	NOTKW
moment	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
party	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
remove	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
side	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
delicious	6	19	58.25	26.35	3.12	2.47	75.41	NOTKW
hot	6	19	58.25	26.35	3.12	2.47	75.41	NOTKW
old	6	19	58.25	26.35	3.12	2.47	75.41	NOTKW
