lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
gesture	34	82	330.1	113.73	14.5	22.96	97.5	POSKW
icon	21	36	203.88	49.93	7.12	21.93	121.31	POSKW
fine-print	16	22	155.34	30.51	4.75	20.69	134.33	POSKW
pick	7	2	67.96	2.77	1.12	20.11	184.31	POSKW
red	72	271	699.03	375.87	42.88	19.32	60.13	POSKW
legal	14	20	135.92	27.74	4.25	17.5	132.2	POSKW
fine	25	60	242.72	83.22	10.62	17.01	97.87	POSKW
solid	12	15	116.5	20.8	3.38	16.82	139.39	POSKW
flank	6	2	58.25	2.77	1.0	16.49	181.82	POSKW
neutral	13	19	126.21	26.35	4.0	15.91	130.91	POSKW
gown	5	1	48.54	1.39	0.75	15.65	188.89	POSKW
warning	5	1	48.54	1.39	0.75	15.65	188.89	POSKW
gray	27	72	262.14	99.86	12.38	15.5	89.66	POSKW
react	20	46	194.17	63.8	8.25	14.49	101.08	POSKW
legal/disclaimer	10	12	97.09	16.64	2.75	14.48	141.46	POSKW
pool	8	7	77.67	9.71	1.88	14.41	155.56	POSKW
swimming	6	3	58.25	4.16	1.12	14.3	173.33	POSKW
blue	69	284	669.9	393.9	44.12	14.01	51.89	POSKW
live	14	25	135.92	34.67	4.88	13.98	118.7	POSKW
worker	14	25	135.92	34.67	4.88	13.98	118.7	POSKW
clean	37	122	359.22	169.21	19.88	13.94	71.92	POSKW
logo	72	301	699.03	417.48	46.62	13.85	50.43	POSKW
information	13	22	126.21	30.51	4.38	13.76	122.12	POSKW
purple	23	61	223.3	84.6	10.5	13.33	90.09	POSKW
coffee	13	23	126.21	31.9	4.5	13.12	119.3	POSKW
auto	5	2	48.54	2.77	0.88	12.95	178.38	POSKW
hall	5	2	48.54	2.77	0.88	12.95	178.38	POSKW
open-mouthed	5	2	48.54	2.77	0.88	12.95	178.38	POSKW
trash	5	2	48.54	2.77	0.88	12.95	178.38	POSKW
float	9	11	87.38	15.26	2.5	12.84	140.54	POSKW
green	46	171	446.6	237.17	27.12	12.78	61.26	POSKW
refer	7	6	67.96	8.32	1.62	12.77	156.36	POSKW
vest	11	18	106.8	24.97	3.62	12.06	124.21	POSKW
wide	54	216	524.27	299.58	33.75	12.05	54.55	POSKW
smartphone	10	15	97.09	20.8	3.12	11.94	129.41	POSKW
table	39	140	378.64	194.17	22.38	11.92	64.41	POSKW
cinematic	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
bright	78	347	757.28	481.28	53.12	11.87	44.57	POSKW
city	15	33	145.63	45.77	6.0	11.57	104.35	POSKW
widen	16	37	155.34	51.32	6.62	11.5	100.67	POSKW
pant	11	19	106.8	26.35	3.75	11.39	120.83	POSKW
paint	6	5	58.25	6.93	1.38	11.13	157.45	POSKW
glossy	18	47	174.76	65.19	8.12	10.71	91.33	POSKW
skyline	7	8	67.96	11.1	1.88	10.52	143.86	POSKW
staff	7	8	67.96	11.1	1.88	10.52	143.86	POSKW
interface	12	24	116.5	33.29	4.5	10.49	111.11	POSKW
colorful	22	65	213.59	90.15	10.88	10.46	81.28	POSKW
cover	22	65	213.59	90.15	10.88	10.46	81.28	POSKW
wall	46	183	446.6	253.81	28.62	10.44	55.05	POSKW
screen	62	269	601.94	373.09	41.38	10.41	46.94	POSKW
print	25	80	242.72	110.96	13.12	10.07	74.51	POSKW
approach	12	25	116.5	34.67	4.62	9.96	108.26	POSKW
bottom	75	345	728.16	478.5	52.5	9.91	41.38	POSKW
brick	9	15	87.38	20.8	3.0	9.68	123.08	POSKW
beard	7	9	67.96	12.48	2.0	9.59	137.93	POSKW
business	7	9	67.96	12.48	2.0	9.59	137.93	POSKW
safety	8	12	77.67	16.64	2.5	9.56	129.41	POSKW
chip	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
jack	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
pay	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
ripple	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
