lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
classic	51	4	495.15	5.55	6.88	184.5	195.57	POSKW
watermark	65	103	631.07	142.86	21.0	73.61	126.16	POSKW
archival	13	3	126.21	4.16	2.0	39.42	187.23	POSKW
soft	45	117	436.89	162.27	20.25	26.96	91.67	POSKW
dissolve	24	48	233.01	66.57	9.0	20.97	111.11	POSKW
blurry	11	10	106.8	13.87	2.62	19.35	154.02	POSKW
lower-left	14	19	135.92	26.35	4.12	18.31	135.04	POSKW
faint	29	75	281.55	104.02	13.0	17.53	92.09	POSKW
division	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
image	90	418	873.79	579.75	63.5	11.39	40.46	POSKW
quality	13	29	126.21	40.22	5.25	9.84	103.33	POSKW
broadcast	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
lever	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
semi-transparent	11	24	106.8	33.29	4.38	8.58	104.95	POSKW
green-tinted	5	5	48.54	6.93	1.25	8.27	150.0	POSKW
overlay	35	143	339.81	198.34	22.25	7.28	52.58	POSKW
amused	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
superimpose	20	70	194.17	97.09	11.25	6.52	66.67	POSKW
soft-focus	10	26	97.09	36.06	4.5	5.99	91.67	POSKW
bathroom-like	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
daytime	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
ford	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
tv	7	15	67.96	20.8	2.75	5.6	106.25	POSKW
unclear	36	163	349.51	226.07	24.88	5.09	42.89	POSKW
low	67	345	650.49	478.5	51.5	4.93	30.47	POSKW
extra	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
greenery	11	34	106.8	47.16	5.62	4.77	77.48	POSKW
inset	6	13	58.25	18.03	2.38	4.73	105.45	POSKW
rectangular	34	155	330.1	214.98	23.62	4.67	42.24	POSKW
reflective	17	64	165.05	88.77	10.12	4.56	60.11	POSKW
tooth	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
collar	9	27	87.38	37.45	4.5	4.15	80.0	POSKW
hazy	9	27	87.38	37.45	4.5	4.15	80.0	POSKW
great	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
picture	11	37	106.8	51.32	6.0	3.96	70.18	POSKW
effect	19	78	184.47	108.18	12.12	3.89	52.13	POSKW
greenish	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
restaurant	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
moment	9	28	87.38	38.83	4.62	3.85	76.92	POSKW
gesture	4	112	38.83	155.34	14.5	11.75	-120.0	NEGKW
move	32	377	310.68	522.88	51.12	9.27	-50.92	NEGKW
walk	4	99	38.83	137.31	12.88	9.24	-111.81	NEGKW
room	11	173	106.8	239.94	23.0	8.65	-76.8	NEGKW
space	8	132	77.67	183.08	17.5	7.19	-80.85	NEGKW
raise	10	150	97.09	208.04	20.0	6.83	-72.73	NEGKW
silhouette	4	82	38.83	113.73	10.75	6.18	-98.18	NEGKW
purple	4	80	38.83	110.96	10.5	5.84	-96.3	NEGKW
first	8	122	77.67	169.21	16.25	5.75	-74.16	NEGKW
young	15	188	145.63	260.75	25.38	5.57	-56.66	NEGKW
expression	12	158	116.5	219.14	21.25	5.35	-61.16	NEGKW
arm	11	148	106.8	205.27	19.88	5.29	-63.11	NEGKW
clean	11	148	106.8	205.27	19.88	5.29	-63.11	NEGKW
short	5	85	48.54	117.89	11.25	4.87	-83.33	NEGKW
back	4	74	38.83	102.64	9.75	4.84	-90.2	NEGKW
counter	8	114	77.67	158.11	15.25	4.66	-68.24	NEGKW
sky	7	104	67.96	144.24	13.88	4.65	-71.9	NEGKW
return	23	250	223.3	346.74	34.12	4.61	-43.31	NEGKW
chair	6	93	58.25	128.99	12.38	4.52	-75.56	NEGKW
standing	9	122	87.38	169.21	16.38	4.44	-63.78	NEGKW
colorful	5	82	48.54	113.73	10.88	4.42	-80.34	NEGKW
floor	8	112	77.67	155.34	15.0	4.4	-66.67	NEGKW
tall	8	111	77.67	153.95	14.88	4.27	-65.87	NEGKW
more	5	80	48.54	110.96	10.62	4.13	-78.26	NEGKW
visual	20	218	194.17	302.36	29.75	4.07	-43.58	NEGKW
resemble	9	118	87.38	163.66	15.88	3.95	-60.77	NEGKW
green	18	199	174.76	276.01	27.12	3.92	-44.92	NEGKW
angle	11	136	106.8	188.63	18.38	3.88	-55.4	NEGKW
rear	4	67	38.83	92.93	8.88	3.75	-82.11	NOTKW
reddish	8	24	77.67	33.29	4.0	3.69	80.0	NOTKW
dress	8	106	77.67	147.02	14.25	3.65	-61.73	NOTKW
box	17	187	165.05	259.36	25.5	3.61	-44.44	NOTKW
indistinct	22	96	213.59	133.15	14.75	3.61	46.4	NOTKW
such	4	66	38.83	91.54	8.75	3.6	-80.85	NOTKW
wide	24	246	233.01	341.19	33.75	3.53	-37.68	NOTKW
cheek	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
double-exposure	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
hanging	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
previous	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
motion	9	114	87.38	158.11	15.38	3.48	-57.63	NOTKW
domestic	7	95	67.96	131.76	12.75	3.47	-63.89	NOTKW
sleeve	6	16	58.25	22.19	2.75	3.44	89.66	NOTKW
caption	5	12	48.54	16.64	2.12	3.4	97.87	NOTKW
reddish-brown	5	12	48.54	16.64	2.12	3.4	97.87	NOTKW
other	31	302	300.97	418.86	41.62	3.36	-32.76	NOTKW
become	6	84	58.25	116.5	11.25	3.3	-66.67	NOTKW
environment	6	84	58.25	116.5	11.25	3.3	-66.67	NOTKW
point	4	64	38.83	88.77	8.5	3.3	-78.26	NOTKW
sequence	20	209	194.17	289.88	28.62	3.27	-39.54	NOTKW
layer	19	82	184.47	113.73	12.62	3.25	47.44	NOTKW
interior	21	216	203.88	299.58	29.62	3.15	-38.02	NOTKW
plant	5	73	48.54	101.25	9.75	3.14	-70.37	NOTKW
blouse	8	26	77.67	36.06	4.25	3.11	73.17	NOTKW
television	9	31	87.38	43.0	5.0	3.06	68.09	NOTKW
sit	28	273	271.84	378.64	37.62	3.05	-32.84	NOTKW
view	34	322	330.1	446.6	44.5	3.05	-30.0	NOTKW
word	20	206	194.17	285.71	28.25	3.03	-38.15	NOTKW
begin	66	364	640.78	504.85	53.75	3.0	23.73	NOTKW
crowded	5	13	48.54	18.03	2.25	3.0	91.67	NOTKW
vanity	4	9	38.83	12.48	1.62	2.99	102.7	NOTKW
curve	7	91	67.96	126.21	12.25	2.98	-60.0	NOTKW
mark	7	91	67.96	126.21	12.25	2.98	-60.0	NOTKW
logo	36	337	349.51	467.41	46.62	2.97	-28.86	NOTKW
form	6	81	58.25	112.34	10.88	2.92	-63.41	NOTKW
paper	6	81	58.25	112.34	10.88	2.92	-63.41	NOTKW
middle	13	52	126.21	72.12	8.12	2.9	54.55	NOTKW
old	18	79	174.76	109.57	12.12	2.89	45.85	NOTKW
color	24	113	233.01	156.73	17.12	2.85	39.15	NOTKW
border	14	58	135.92	80.44	9.0	2.78	51.28	NOTKW
console	6	18	58.25	24.97	3.0	2.77	80.0	NOTKW
fine	6	79	58.25	109.57	10.62	2.67	-61.16	NOTKW
distinguish	5	14	48.54	19.42	2.38	2.63	85.71	NOTKW
clothing	10	115	97.09	159.5	15.62	2.61	-48.65	NOTKW
print	8	97	77.67	134.54	13.12	2.61	-53.59	NOTKW
prominent	16	70	155.34	97.09	10.75	2.6	46.15	NOTKW
hang	6	78	58.25	108.18	10.5	2.55	-60.0	NOTKW
orange/red	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
preparation	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
vintage	4	10	38.83	13.87	1.75	2.55	94.74	NOTKW
fill	21	208	203.88	288.49	28.62	2.53	-34.37	NOTKW
include	47	417	456.31	578.36	58.0	2.53	-23.59	NOTKW
see	18	183	174.76	253.81	25.12	2.53	-36.89	NOTKW
wall	21	208	203.88	288.49	28.62	2.53	-34.37	NOTKW
cap	20	93	194.17	128.99	14.12	2.52	40.34	NOTKW
row	5	68	48.54	94.31	9.12	2.5	-64.08	NOTKW
storefront	6	19	58.25	26.35	3.12	2.47	75.41	NOTKW
hand	47	415	456.31	575.59	57.75	2.42	-23.12	NOTKW
continue	20	198	194.17	274.62	27.25	2.4	-34.32	NOTKW
red-and-white	7	24	67.96	33.29	3.88	2.4	68.49	NOTKW
metal	5	67	48.54	92.93	9.0	2.37	-62.75	NOTKW
bright	43	382	417.48	529.82	53.12	2.34	-23.72	NOTKW
serious	4	57	38.83	79.06	7.62	2.33	-68.24	NOTKW
