lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
overall	11	17	106.8	23.58	3.5	12.77	127.66	POSKW
earphone	4	1	38.83	1.39	0.62	11.9	186.21	POSKW
red-orange	14	31	135.92	43.0	5.62	10.7	103.88	POSKW
magical	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
lavender	10	20	97.09	27.74	3.75	8.74	111.11	POSKW
pink	45	188	436.89	260.75	29.12	8.68	50.5	POSKW
starburst	9	17	87.38	23.58	3.25	8.43	115.0	POSKW
yellow	63	290	611.65	402.22	44.12	8.3	41.31	POSKW
brown	50	219	485.44	303.74	33.62	8.09	46.05	POSKW
inset	7	11	67.96	15.26	2.25	7.99	126.67	POSKW
assortment	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
brownish	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
attentive	16	47	155.34	65.19	7.88	7.7	81.76	POSKW
accept	7	12	67.96	16.64	2.38	7.31	121.31	POSKW
awning	5	6	48.54	8.32	1.38	7.24	141.46	POSKW
deodorant	5	6	48.54	8.32	1.38	7.24	141.46	POSKW
everyone	5	6	48.54	8.32	1.38	7.24	141.46	POSKW
keypad	5	6	48.54	8.32	1.38	7.24	141.46	POSKW
frosted	6	9	58.25	12.48	1.88	7.17	129.41	POSKW
flower	22	78	213.59	108.18	12.5	6.94	65.52	POSKW
milk	9	20	87.38	27.74	3.62	6.85	103.61	POSKW
brochure	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
cassette	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
function	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
blonde	35	148	339.81	205.27	22.88	6.46	49.36	POSKW
curly	26	103	252.43	142.86	16.12	5.98	55.44	POSKW
red	79	406	766.99	563.11	60.62	5.89	30.66	POSKW
blouse	23	88	223.3	122.05	13.88	5.88	58.63	POSKW
device	14	44	135.92	61.03	7.25	5.87	76.06	POSKW
red-and-white	11	31	106.8	43.0	5.25	5.72	85.19	POSKW
carriage	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
example	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
ray	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
shredded	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
star-shaped	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
zigzag	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
band	24	96	233.01	133.15	15.0	5.35	54.55	POSKW
crisp	10	28	97.09	38.83	4.75	5.27	85.71	POSKW
candle	5	9	48.54	12.48	1.75	4.95	118.18	POSKW
colorful	26	109	252.43	151.18	16.88	4.95	50.17	POSKW
tough	5	9	48.54	12.48	1.75	4.95	118.18	POSKW
glow	37	170	359.22	235.78	25.88	4.91	41.49	POSKW
square	30	131	291.26	181.69	20.12	4.91	46.33	POSKW
blue	80	425	776.7	589.46	63.12	4.81	27.41	POSKW
green-and-white	4	6	38.83	8.32	1.25	4.78	129.41	POSKW
earring	16	58	155.34	80.44	9.25	4.76	63.53	POSKW
original	6	13	58.25	18.03	2.38	4.73	105.45	POSKW
take	31	139	300.97	192.79	21.25	4.57	43.82	POSKW
unit	11	35	106.8	48.54	5.75	4.49	75.0	POSKW
collar	28	123	271.84	170.6	18.88	4.48	45.77	POSKW
taste	9	26	87.38	36.06	4.38	4.47	83.15	POSKW
peach	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
amber	11	36	106.8	49.93	5.88	4.22	72.57	POSKW
hazy	11	36	106.8	49.93	5.88	4.22	72.57	POSKW
loop	11	36	106.8	49.93	5.88	4.22	72.57	POSKW
size	11	36	106.8	49.93	5.88	4.22	72.57	POSKW
key	9	27	87.38	37.45	4.5	4.15	80.0	POSKW
lively	9	27	87.38	37.45	4.5	4.15	80.0	POSKW
coupe	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
