file_id	group_filename	decade	ver1	ver2	ver3	ver4	ver5	ver6	ver7	ver8	vis1	vis2	vis3	vis4	vis5	vis6	vis7	vis8	V1	V2	V3	V4	V5	V6	V7	V8	W1	W2	W3	W4	W5	W6	W7	W8
t000001	1950/tv_com_1950_1.txt	1950	1	-1	0	-3	0	1	2	2	1	0	1	1	2	1	1	1	0.5375348299	1.4229208925	-0.257864742	1.394063366	-0.135760643	-1.201377601	1.0644579059	-3.225403635	0.4632690023	0.4358888332	-0.191308593	-0.533279127	-0.552360298	0.1049077185	0.9726683796	-0.608209146
t000002	1950/tv_com_1950_3.txt	1950	8	0	3	1	1	1	0	2	0	8	0	2	2	3	2	-1	2.5861624301	-0.393823085	0.4476406409	-0.197707129	1.3877545964	-1.43540635	1.3117560431	1.3943566431	0.1062509488	0.5520135965	0.2029486147	1.3221991106	1.5429235501	0.1484834619	0.4541305503	-0.915224274
t000003	1950/tv_com_1950_5.txt	1950	4	1	-1	-8	-1	0	2	0	1	0	2	0	2	0	5	0	1.7903387756	1.9472004472	-0.233835173	0.5182265792	-3.765704216	-1.769231394	-2.508196315	-5.013261677	1.274598369	-0.012023305	0.306405951	-0.107555678	-0.325480474	-0.151425215	-0.022325711	-0.172354388
t000004	1950/tv_com_1950_6.txt	1950	2	1	-1	-1	1	-6	-1	1	2	-1	3	1	3	0	3	0	-0.317922553	-0.192607976	1.2983749905	-1.870250749	2.4366630323	0.4729048771	-3.897926672	-1.130291545	0.8098819329	-0.004440617	-0.076557603	-0.637060779	-0.645833232	0.072852005	-0.081655507	-0.500806509
t000005	1950/tv_com_1950_7.txt	1950	3	-1	1	-1	-1	1	0	2	1	0	0	3	0	0	2	0	0.3989068964	0.3870245359	-0.669342333	1.6632641995	0.5600275723	-1.826752575	0.2823564532	-0.369943056	0.6647781009	0.5646938962	-0.035451712	-0.508421979	-0.040139638	-0.876240863	0.5841415719	-1.225533983
t000006	1950/tv_com_1950_8.txt	1950	5	-1	-2	-2	0	-3	1	0	3	2	3	0	4	6	6	0	1.2135516988	1.0223477829	-0.898809047	-0.692185963	0.4568744826	1.3795211468	-2.459578919	-1.633179854	0.5877654938	0.007080727	-0.895107814	2.1192304278	-0.714811816	0.3419704198	-0.314152498	0.8182317534
t000007	1950/tv_com_1950_9.txt	1950	2	-2	1	0	0	-1	0	0	0	0	-1	0	0	0	3	1	-0.14972736	-0.429095099	-1.395777176	-0.729662634	0.8347600831	-0.12135574	0.1043788043	-0.183587926	1.1698989896	0.3822808671	0.27645128	-0.363506286	-0.189829297	-0.486749384	1.2304898282	-0.498870896
t000008	1950/tv_com_1950_10.txt	1950	3	-6	1	0	0	-1	-1	-1	1	3	1	1	8	0	0	0	-0.279591597	-0.229745528	-4.531328187	-2.002123693	1.5772769329	-0.498468554	0.230617321	0.4188819304	0.4861408738	0.2271388692	-0.450671311	-1.223399239	0.6234715418	1.2555653116	0.3514841199	-0.389293567
t000009	1950/tv_com_1950_11.txt	1950	6	-1	2	-1	1	0	0	0	-1	1	1	4	3	0	2	0	1.7503573861	-0.100642394	-0.733302848	-1.687767145	0.0444158382	-0.98567141	0.2693166995	0.0625579856	0.5940096895	1.0288937337	-0.141854492	-0.759844584	0.0957314603	-0.229924583	0.0717722683	-0.961622844
t000010	1950/tv_com_1950_12.txt	1950	8	0	2	-3	1	-6	-2	0	6	3	0	0	5	-2	4	0	1.9234523949	-1.370336347	-0.333461149	-3.643430448	1.391435716	-1.644888848	-4.78178525	-0.710405466	1.1642814072	-0.636591646	0.5121332631	-0.974608834	0.9939004052	-0.198662048	0.1845313637	0.2342540063
t000011	1950/tv_com_1950_13.txt	1950	2	0	2	-5	0	0	-1	0	3	4	5	0	1	2	4	1	0.2140449978	0.2494585583	-0.417149637	-1.304385899	-1.767737864	-3.534905589	-1.372457271	-2.085738078	0.0732042211	0.0688428355	1.0167893011	0.8927618425	-0.483374102	0.2617122791	0.1599481259	0.2113864297
t000012	1950/tv_com_1950_14.txt	1950	4	-2	0	0	1	-1	2	0	12	6	1	3	5	0	0	-1	1.2876895436	0.3513013062	-1.107686368	-0.944539404	0.8229509715	1.5763076952	0.8956494302	-1.187479988	-0.47566796	-0.988421219	-0.088683508	-0.540304509	1.5560500052	-0.452067545	0.1142635364	-0.657429442
t000013	1950/tv_com_1950_15.txt	1950	6	-2	0	-8	-1	0	0	0	0	2	2	0	0	-1	7	0	1.9148665411	1.8181321449	-2.538819524	-0.527547521	-2.549401171	-3.497432689	-2.828871906	-3.774477526	1.5205039534	0.1356561306	1.2733869475	0.2580023937	0.1526853135	-0.597633488	-0.164866441	-0.066260817
t000014	1950/tv_com_1950_16.txt	1950	6	0	1	-2	-1	1	1	0	2	1	4	-1	3	1	2	1	1.7999584503	0.1565057576	-0.736887934	0.6285417952	-1.6257115	-0.616189863	-0.309843269	-0.531462154	0.3905400023	-0.096947581	0.3397371657	-0.238382632	-0.803414199	0.8104228331	0.5093627108	-0.083445004
t000015	1950/tv_com_1950_18.txt	1950	-2	-1	-5	0	1	-1	0	0	1	0	3	0	3	1	9	0	-1.855086351	3.2061764611	0.1417477508	-0.646178593	1.0532496569	2.1810828374	-0.840597663	-0.491239139	1.7469197757	0.0561811199	0.3344953711	0.7237992208	-0.552085266	-0.316194376	-0.874487378	0.8475006075
t000016	1950/tv_com_1950_19.txt	1950	8	-1	-2	-2	-1	-1	1	1	2	1	2	2	8	2	6	0	2.3052760927	1.5911874434	-1.189397509	1.0432212989	0.1645395968	0.592092439	-2.158026746	-0.778997118	1.1533679161	0.3753332089	-0.796779015	0.0908900553	-0.132989235	0.3836381895	-0.85913181	0.9054071557
t000017	1950/tv_com_1950_20.txt	1950	4	-1	0	-4	1	6	1	1	1	1	5	7	2	-1	4	0	1.7352167085	3.5267747972	-0.476917283	0.3756297152	-2.449203113	-2.830707598	2.7804152433	-1.431256967	0.1519856475	1.2621132645	0.6116926823	-0.781723333	-0.363092601	-0.904142764	-1.175754514	-0.827677184
t000018	1950/tv_com_1950_21.txt	1950	9	0	3	-4	-2	0	0	1	1	3	3	1	2	1	5	0	2.8242102852	-0.883029936	-1.258245315	1.0426794734	-1.514628715	-3.057398721	-2.010377421	-1.001776366	0.7576438453	0.2669879985	0.6189534182	0.5195110058	0.0331588117	-0.042304884	-0.221967729	-0.080587061
