Dependent	Source	DF	SS	MS	FValue	ProbF
ver1	Model	7	1638.535715	234.076531	63.99	<.0001
ver1	Error	812	2970.316724	3.658026	_	_
ver1	Corrected Total	819	4608.852439	_	_	_
ver2	Model	7	11.204085	1.600584	1.16	0.3224
ver2	Error	812	1118.623963	1.377616	_	_
ver2	Corrected Total	819	1129.828049	_	_	_
ver3	Model	7	91.294274	13.042039	7.93	<.0001
ver3	Error	812	1335.393531	1.644573	_	_
ver3	Corrected Total	819	1426.687805	_	_	_
ver4	Model	7	13.393646	1.913378	1.48	0.1705
ver4	Error	812	1049.196598	1.292114	_	_
ver4	Corrected Total	819	1062.590244	_	_	_
ver5	Model	7	24.516916	3.502417	1.92	0.0634
ver5	Error	812	1480.530645	1.823314	_	_
ver5	Corrected Total	819	1505.047561	_	_	_
ver6	Model	7	2.538135	0.362591	0.38	0.9116
ver6	Error	812	765.572840	0.942824	_	_
ver6	Corrected Total	819	768.110976	_	_	_
ver7	Model	7	26.174592	3.739227	4.52	<.0001
ver7	Error	812	671.087603	0.826463	_	_
ver7	Corrected Total	819	697.262195	_	_	_
ver8	Model	7	15.335661	2.190809	3.40	0.0014
ver8	Error	812	523.565559	0.644785	_	_
ver8	Corrected Total	819	538.901220	_	_	_
