Dependent	Source	DF	SS	MS	FValue	ProbF
vis1	Model	7	6076.539696	868.077099	60.70	<.0001
vis1	Error	812	11612	14.300765	_	_
vis1	Corrected Total	819	17689	_	_	_
vis2	Model	7	997.885804	142.555115	4.12	0.0002
vis2	Error	812	28126	34.637591	_	_
vis2	Corrected Total	819	29124	_	_	_
vis3	Model	7	3931.262159	561.608880	43.72	<.0001
vis3	Error	812	10431	12.846426	_	_
vis3	Corrected Total	819	14363	_	_	_
vis4	Model	7	866.378750	123.768393	4.89	<.0001
vis4	Error	812	20531	25.285062	_	_
vis4	Corrected Total	819	21398	_	_	_
vis5	Model	7	640.289802	91.469972	7.81	<.0001
vis5	Error	812	9508.729711	11.710258	_	_
vis5	Corrected Total	819	10149	_	_	_
vis6	Model	7	1531.591307	218.798758	17.08	<.0001
vis6	Error	812	10399	12.806551	_	_
vis6	Corrected Total	819	11931	_	_	_
vis7	Model	7	8515.195655	1216.456522	96.70	<.0001
vis7	Error	812	10214	12.579364	_	_
vis7	Corrected Total	819	18730	_	_	_
vis8	Model	7	350.209397	50.029914	6.34	<.0001
vis8	Error	812	6406.496701	7.889774	_	_
vis8	Corrected Total	819	6756.706098	_	_	_
