file_id	group_filename	decade	ver1	ver2	ver3	ver4	ver5	ver6	ver7	ver8	vis1	vis2	vis3	vis4	vis5	vis6	vis7	vis8	V1	V2	V3	V4	V5	V6	V7	V8	W1	W2	W3	W4	W5	W6	W7	W8	cross1	cross2	cross3	cross4	cross5	cross6	cross7
t000011	1950/tv_com_1950_13.txt	1950	2	0	2	-5	0	0	-1	0	3	2	3	7	1	11	16	-2	0.058833804	-1.605796242	0.744925035	-1.072003623	-0.789853772	1.8400080749	-1.657754993	3.5418420958	1.462846206	-2.667675249	0.9646298697	-0.173754569	-0.436183398	-0.420151364	1.5335844887	0.6235318179	0.760840005	-2.136735746	0.8547774524	-0.622879096	-0.613018585	0.7099283555	-0.062085252
t000012	1950/tv_com_1950_14.txt	1950	3	-2	0	0	-2	2	2	-1	7	5	4	-1	3	3	11	7	0.2250974404	-1.203087362	0.3885117153	-1.75734274	3.2351838128	-0.412862173	-0.071839712	-0.922638034	1.14565518	-0.041431598	1.3180949199	-1.395168415	2.2068232415	0.6347828529	0.6217011036	0.8082998427	0.6853763102	-0.62225948	0.8533033176	-1.576255578	2.7210035272	0.11096034	0.2749306958
t000013	1950/tv_com_1950_15.txt	1950	6	-1	0	-7	0	-1	0	0	2	0	4	5	3	13	9	-1	0.5084836533	-4.125387633	0.0675530109	-2.364835932	-1.622261567	0.6811134469	-1.156651363	3.8093754751	0.822247951	-2.138712061	-0.460064355	-1.379564382	-0.478193717	-0.293172207	0.8666833975	0.3785804617	0.6653658022	-3.132049847	-0.196255672	-1.872200157	-1.050227642	0.19397062	-0.144983983
t000014	1950/tv_com_1950_16.txt	1950	6	0	1	-2	1	-2	1	1	-1	-1	-1	14	4	9	11	2	1.1779074512	-1.604388494	0.6175741286	0.1902327139	-1.964903301	-1.163996574	0.4465245405	1.3593781443	0.6089571285	-2.630867708	-0.456329416	0.8997232921	0.7679433726	0.36694128	-0.005670867	1.3792036985	0.8934322899	-2.117628101	0.0806223563	0.544978003	-0.598479964	-0.398527647	0.2204268368
t000015	1950/tv_com_1950_18.txt	1950	-2	-1	-5	0	-1	1	0	0	1	2	7	6	-1	15	10	-1	-2.693184054	-0.891865584	-2.862948306	-0.649430205	1.4793881288	0.1509614791	1.1607149908	-0.85270343	1.6191968016	-2.293503046	-0.255928517	-1.481488718	-1.020304951	0.320259016	0.7988329354	-0.593808967	-0.536993626	-1.592684315	-1.559438412	-1.065459462	0.2295415889	0.2356102476	0.9797739631
t000016	1950/tv_com_1950_19.txt	1950	8	-1	-2	-2	-1	-1	1	1	1	-1	2	9	2	17	8	5	1.0536969808	-3.134317275	-1.051327154	-1.065699233	-1.059215601	-0.474382296	1.3906149505	-0.0507225	0.8056072184	-3.034872314	-0.893747652	-1.804667682	0.6554806344	1.6636092603	0.2516760651	0.4324942964	0.9296520996	-3.084594795	-0.972537403	-1.435183458	-0.201867483	0.5946134822	0.8211455078
t000017	1950/tv_com_1950_20.txt	1950	4	-1	0	-4	6	1	1	1	-2	8	4	10	1	6	10	1	0.1733484133	-3.40816405	-0.27568127	2.5736544306	0.7022800349	-1.597213129	-1.931878257	3.4255774709	1.4191515697	-1.180020866	0.3364279716	0.6752688359	-0.45115089	0.4524877348	-0.563470953	0.4617331417	0.7962499915	-2.294092458	0.0303733508	1.6244616333	0.1255645725	-0.572362697	-1.247674605
t000018	1950/tv_com_1950_21.txt	1950	9	0	3	-4	0	-2	0	1	-1	2	3	7	2	13	15	-2	2.4231295458	-2.497021506	1.5449633346	-0.6545621	-2.80693049	0.5486435534	-0.438260521	2.3333668089	1.4567489318	-3.006804564	0.4459660766	-0.474406323	-0.667417976	-0.387237705	0.6996857044	0.8288505222	1.9399392388	-2.751913035	0.9954647056	-0.564484212	-1.737174233	0.0807029242	0.1307125917
t000019	1950/tv_com_1950_22.txt	1950	4	0	-1	-1	-1	3	0	0	5	1	4	2	4	14	7	2	0.7029069862	-1.329581405	-1.814001591	-0.457839053	2.4434901101	1.4804745346	-0.673334971	-0.024864483	0.5634435788	-1.795182503	-0.464602402	-2.52120426	0.0319412822	0.3972412577	1.0701070053	0.4945900149	0.6331752825	-1.562381954	-1.139301997	-1.489521657	1.2377156962	0.9388578962	0.1983860172
t000020	1950/tv_com_1950_24.txt	1950	5	1	3	2	-3	-2	2	0	2	3	12	7	0	4	6	0	2.0134325836	1.6597514397	1.6570554461	-1.308961014	-0.957098279	-1.248984567	1.53904114	-1.285842373	1.9710365045	0.6724098258	-0.916345676	-0.10753242	-0.374825285	-0.148535033	0.1813247556	-0.932305878	1.9922345441	1.1660806328	0.3703548851	-0.708246717	-0.665961782	-0.6987598	0.8601829478
t000021	1950/tv_com_1950_25.txt	1950	3	-2	-1	2	2	0	-1	0	-10	4	3	15	9	3	10	0	-1.116314114	-1.089823952	-0.22136829	1.8519182502	0.0280058708	-0.097563004	-0.814201098	-2.341552101	1.2454708217	-1.077904987	-1.412907146	2.0631619034	-0.127334938	-0.601806246	-2.12531855	2.5077824473	0.0645783539	-1.08386447	-0.817137718	1.9575400768	-0.049664534	-0.349684625	-1.469759824
t000022	1950/tv_com_1950_26.txt	1950	11	-1	-1	0	8	0	0	0	-1	3	3	19	-1	11	5	0	1.3425358696	-3.6561243	-1.479533326	3.8923845771	-0.883642431	-2.78778361	-3.443127481	-0.996485999	0.8524718673	-2.090410215	-1.246651564	1.1921906094	-1.152971024	1.1978113218	-0.116548436	-0.437190444	1.0975038685	-2.873267258	-1.363092445	2.5422875933	-1.018306728	-0.794986144	-1.779837959
t000023	1950/tv_com_1950_28.txt	1950	3	0	0	1	4	-3	0	0	1	5	3	12	-3	9	2	-4	-0.707525372	-0.124320547	0.1262801165	2.0284423236	-2.715318135	-2.536447115	-0.85526246	-0.585017549	0.2480849508	-1.35367874	-0.489244333	0.6125852214	-2.027708515	-0.073970807	0.217154363	-1.432598172	-0.229720211	-0.738999644	-0.181482108	1.3205137725	-2.371513325	-1.305208961	-0.319054049
t000024	1950/tv_com_1950_29.txt	1950	7	0	2	-4	1	1	5	1	-3	3	4	7	-1	7	11	1	3.0573745424	-2.526007571	0.9648204845	-0.707318645	2.1970267086	-3.036358939	0.7437078077	3.698707093	1.492803278	-1.601634588	0.4334856857	0.1911593724	0.357031381	0.0020615978	-0.622030827	-0.174627046	2.2750889102	-2.06382108	0.6991530851	-0.258079636	1.2770290448	-1.517148671	0.0608384904
t000025	1950/tv_com_1950_30.txt	1950	3	-3	0	0	1	0	0	0	3	1	3	0	0	3	11	1	-0.888367619	-2.033698624	1.089017604	0.6177619484	0.5485024454	-0.14210812	-0.475638411	-0.917864924	0.926268756	-0.712575722	1.2542410916	-0.424667548	1.3350930383	-0.934606284	0.402126434	-0.157948543	0.0189505685	-1.373137173	1.1716293478	0.0965472002	0.9417977419	-0.538357202	-0.036755989
t000026	1950/tv_com_1950_31.txt	1950	6	-1	0	-6	-1	1	2	1	1	5	7	1	6	11	12	-2	1.4866534299	-3.905870525	-0.012846633	-1.958689837	1.0144442081	0.2232953415	0.5224515565	3.7485747538	1.479201557	-1.3863825	-0.00814925	-1.683542605	-1.053814353	-0.811997379	0.740730223	1.2734061014	1.4829274935	-2.646126513	-0.010497942	-1.821116221	-0.019685072	-0.294351019	0.6315908898
t000027	1950/tv_com_1950_32.txt	1950	5	-1	-1	-1	4	-1	0	-1	-2	8	3	12	7	13	10	-2	-0.47666998	-2.105565654	-0.711032477	0.8277985812	-1.003849678	-1.922912542	-2.398496597	-0.19548175	0.9816709893	-2.359607137	-0.736199168	-0.101439127	-2.052725473	0.2441005684	0.1306353742	1.9566950954	0.2525005047	-2.232586396	-0.723615823	0.3631797271	-1.528287576	-0.839405987	-1.133930611
t000028	1950/tv_com_1950_33.txt	1950	5	0	-6	-1	2	-2	3	2	0	-1	3	5	0	7	6	0	-0.328566316	-2.776483356	-3.381990391	0.6588281276	-1.188452615	-3.961765752	3.2664398657	0.2629438438	0.5359061354	-1.208805868	-0.258563146	-0.381664124	0.4743415999	-0.56241999	-0.175167004	-0.558189798	0.1036699097	-1.992644612	-1.820276769	0.1385820018	-0.357055508	-2.262092871	1.5456364309
t000029	1950/tv_com_1950_34.txt	1950	4	0	2	-2	2	0	-1	4	-5	1	3	10	1	2	7	0	1.1266522456	-1.64091737	0.8818610062	3.6838225638	-1.330192235	1.9116921472	1.4846159716	2.6144097312	0.8928463511	-0.705247619	-0.442898563	1.4269047267	0.5503517941	-0.701817334	-1.379545202	-0.001495993	1.0097492984	-1.173082495	0.2194812216	2.5553636453	-0.38992022	0.6049374066	0.0525353848
t000030	1950/tv_com_1950_35.txt	1950	4	1	0	-2	4	2	1	1	-3	1	2	9	1	-1	8	3	1.0813164563	-1.480953913	-1.461575142	2.2913015292	1.4241381894	-0.920019508	-1.303243813	2.2715890903	0.8802466765	-0.281285788	0.0940005449	1.557555052	1.7387857574	-0.347592063	-1.341054296	0.2002332857	0.9807815664	-0.881119851	-0.683787299	1.9244282906	1.5814619734	-0.633805786	-1.322149055
t000031	1950/tv_com_1950_36.txt	1950	5	1	0	3	4	2	-1	3	-1	1	4	13	2	2	6	-2	1.2683178322	-0.108808436	-1.595972883	5.6400041679	0.6137490433	0.6637611005	0.3270762564	-1.180226806	0.7554543713	-0.414081416	-0.856006505	1.8056237769	-0.262906512	-0.821202042	-0.313795892	0.0516106621	1.0118861018	-0.261444926	-1.225989694	3.7228139724	0.1754212657	-0.078720471	0.0066401822
t000032	1950/tv_com_1950_38.txt	1950	3	0	-2	0	-1	-1	0	1	-4	6	7	4	5	7	7	-1	-0.34847862	-0.764050497	-1.312867451	-0.093105573	-1.047498218	0.0580795994	1.5703759996	-0.588915967	1.2620192761	-0.511978363	-0.715496412	-0.685083247	-0.879538118	-0.655541539	-0.957277028	0.7664136315	0.4567703281	-0.63801443	-1.014181932	-0.38909441	-0.963518168	-0.29873097	0.3065494858
t000033	1950/tv_com_1950_39.txt	1950	3	0	-1	-1	1	0	1	2	-5	2	9	5	8	2	16	-2	0.2804094358	-1.310838885	-0.793478367	1.39606811	-0.000196506	-0.543392314	1.5820628379	1.1253205043	2.362405274	-0.334335525	-0.345212	0.6823979822	0.1710724054	-1.843625059	-0.539783694	2.0265587415	1.3214073549	-0.822587205	-0.569345184	1.0392330461	0.0854379497	-1.193508687	0.521139572
t000034	1950/tv_com_1950_40.txt	1950	9	-3	0	-1	3	-3	0	-3	-2	1	5	4	4	10	8	-2	-0.203440027	-3.285076314	0.9945992552	-1.408568469	-2.414188287	-2.66678769	-3.710621796	-1.955143322	0.9140542195	-1.495511441	-0.6920834	-0.967080231	-0.602673992	-0.92471413	-0.137593023	0.4966772919	0.3553070963	-2.390293878	0.1512579276	-1.18782435	-1.50843114	-1.79575091	-1.92410741
t000035	1950/tv_com_1950_41.txt	1950	10	-1	0	2	3	0	5	6	3	2	7	12	1	4	31	1	3.6251335812	-2.672030569	0.6354335911	5.3268041346	0.9799431305	-3.661743104	5.7870839549	0.1358919912	3.8875920252	-2.418878453	2.376008366	2.1126494054	1.3475270232	-0.172152315	2.0892786588	1.8998652467	3.7563628032	-2.545454511	1.5057209786	3.71972677	1.1637350769	-1.91694771	3.9381813069
t000036	1950/tv_com_1950_42.txt	1950	3	3	6	0	-1	0	-2	4	0	0	8	2	-1	2	15	2	2.7086924898	2.0951784235	1.9108035035	3.3610704407	-1.93391075	3.8965404918	1.5908806281	2.2996057776	2.3286546497	-0.41740942	0.9798431917	0.0498263614	1.7043946866	-0.724392011	-0.000604837	-0.279258315	2.5186735698	0.8388845018	1.4453233476	1.7054484011	-0.114758032	1.5860742404	0.7951378956
t000037	1950/tv_com_1950_43.txt	1950	4	0	0	-2	-5	0	1	2	2	11	5	10	5	11	6	2	1.2575044246	-1.099328024	0.0044045673	-1.972130902	0.0372089155	1.7755496986	3.3164850131	1.0479756085	0.9826106674	-1.084357323	-0.608067789	-0.794972587	-1.478336252	1.3634587327	0.149091451	1.1476659882	1.120057546	-1.091842674	-0.301831611	-1.383551745	-0.720563668	1.5695042157	1.7327882321
t000038	1950/tv_com_1950_44.txt	1950	5	1	1	-3	-1	0	1	2	-1	1	6	11	-1	6	12	-3	1.8083696929	-1.339439034	-0.137214517	-0.141600518	-0.470787169	0.6248069162	1.4506456033	2.5703381234	1.7252017478	-1.428667583	0.0146592818	1.2219334045	-0.552227222	-0.755948894	0.360414334	-0.351257656	1.7667857204	-1.384053309	-0.061277618	0.5401664433	-0.511507196	-0.065570989	0.9055299687
t000039	1950/tv_com_1950_45.txt	1950	9	0	0	-1	3	-1	-1	0	1	3	1	14	-1	4	9	0	1.2752379962	-2.29248051	-0.907485298	1.178381413	-2.120949607	-0.374349514	-2.056122885	-0.437096621	0.7800871411	-1.406428094	0.3148941044	1.8268535368	0.0889324	0.1280719937	0.1436528662	-0.106327546	1.0276625687	-1.849454302	-0.296295597	1.5026174749	-1.016008604	-0.12313876	-0.956235009
t000040	1950/tv_com_1950_46.txt	1950	6	-2	-2	0	3	-1	2	1	1	2	3	6	-1	5	12	-1	0.0793919304	-2.830701926	-0.40601841	1.5234010142	-0.17599869	-2.899779682	0.826896977	-0.623056695	1.1869061558	-1.414891103	0.9568092566	0.5200588114	0.3044127893	-0.704127902	0.4035553699	-0.198404064	0.6331490431	-2.122796515	0.2753954233	1.0217299128	0.0642070497	-1.801953792	0.6152261735
t000041	1950/tv_com_1950_47.txt	1950	3	0	0	-1	1	-1	1	2	1	3	5	6	2	6	13	-1	0.358933107	-1.003978273	0.0731784422	1.3516679387	-0.862348192	-0.771827298	1.6351351802	1.2921516816	1.5180273666	-1.251435983	0.5246197484	0.1814912302	-0.041733153	-0.664176791	0.5482772778	0.550271453	0.9384802368	-1.127707128	0.2988990953	0.7665795845	-0.452040673	-0.718002045	1.091706229
t000042	1950/tv_com_1950_48.txt	1950	9	-1	-2	-5	0	0	-1	0	0	3	8	3	1	15	4	-3	0.8706241902	-4.578639077	-1.775275629	-1.69243306	-1.330899584	1.3377079653	-1.347355246	1.348260845	0.9736214063	-1.500332802	-1.11297814	-2.201143517	-1.912270648	-0.292679533	0.3118435284	-0.77054717	0.9221227983	-3.03948594	-1.444126885	-1.946788289	-1.621585116	0.5225142162	-0.517755859
t000043	1950/tv_com_1950_49.txt	1950	7	2	0	1	-4	0	4	0	4	4	7	7	5	1	28	0	2.9992583272	0.6618550748	-1.076264377	-2.619152675	1.1872633814	-2.1820038	2.4118403829	-0.940679792	3.2788894631	-1.310240567	2.246827061	1.564022611	1.127006002	-1.022479114	1.9484468475	2.5415223229	3.1390738952	-0.324192746	0.585281342	-0.527565032	1.1571346917	-1.602241457	2.1801436152
t000044	1950/tv_com_1950_50.txt	1950	3	5	2	0	-2	2	-1	-2	0	0	16	7	2	1	6	3	2.0187727419	3.00837696	-2.480723333	-1.736736862	0.6510466881	1.7397266883	-2.891420308	0.2674691564	2.6729254529	1.7198470947	-1.836821157	-0.088711625	0.8340797075	-0.030795098	-0.553881447	-0.663397182	2.3458490974	2.3641120274	-2.158772245	-0.912724244	0.7425631978	0.8544657952	-1.722650878
t000045	1950/tv_com_1950_51.txt	1950	4	0	0	0	3	0	0	-1	-2	2	7	4	-1	3	15	-1	0.0062826088	-0.736395416	-0.720602751	0.8937746744	-0.088621568	-1.267393119	-2.319646375	-0.390943206	2.1801515072	-0.863450979	0.9933773767	0.5742973215	0.5662973007	-1.096991638	-0.118240292	-0.185626675	1.093217058	-0.799923198	0.1363873129	0.734035998	0.2388378664	-1.182192379	-1.218943334
t000046	1950/tv_com_1950_52.txt	1950	11	4	1	3	-3	-1	0	2	3	3	12	11	0	3	6	2	4.2631803476	1.4543547677	-1.931149339	0.5397603722	-2.37354304	0.8124648147	2.239174832	-2.395936923	2.1058870385	0.8178536974	-1.143666405	0.4944564441	0.023964344	0.5505038407	0.227691906	-0.791975682	3.1845336931	1.1361042326	-1.537407872	0.5171084082	-1.174789348	0.6814843277	1.233433369
t000047	1950/tv_com_1950_53.txt	1950	7	-4	-1	-1	-8	4	0	2	2	0	7	1	0	14	16	2	1.3846416918	-3.762608461	0.2716019729	-2.599359555	3.8139767638	5.0089265535	3.3759507718	-1.787911102	2.1792439698	-2.47047706	0.6951820402	-2.122285687	0.6283428021	0.2597025394	1.0573433176	0.0931718352	1.7819428308	-3.116542761	0.4833920066	-2.360822621	2.221159783	2.6343145465	2.2166470447
t000048	1950/tv_com_1950_54.txt	1950	2	0	1	-1	1	-1	0	-2	3	1	5	3	4	7	11	0	-0.520789044	-0.038222394	0.2874050389	-1.152359203	-0.64293348	-0.963062044	-2.449617046	0.2255107789	1.1277084995	-1.033358158	0.1221332473	-0.794356597	0.3558355487	-0.724637544	0.8007532099	0.7489491005	0.3034597278	-0.535790276	0.2047691431	-0.9733579	-0.143548966	-0.843849794	-0.824431918
t000049	1950/tv_com_1950_55.txt	1950	4	-1	0	1	-3	1	0	4	4	0	6	4	3	6	7	0	1.078329874	-1.050676472	0.2638672611	1.7803851644	0.6028415876	2.5194717109	4.2391390672	-0.575676989	0.8690512234	-0.409552861	-0.463712962	-0.723401789	0.2800987552	-0.642708162	0.7370704992	0.0642970984	0.9736905487	-0.730114667	-0.09992285	0.5284916877	0.4414701714	0.9383817745	2.4881047832
t000050	1950/tv_com_1950_57.txt	1950	8	0	2	2	-2	-3	-1	0	3	10	5	-2	2	0	12	-1	1.4969988418	0.1713889964	1.1263883067	-0.538313496	-3.308333007	0.4751626555	0.2996743189	-2.719696763	1.2726330318	0.2771624291	1.9577228249	-0.201382565	-0.060533257	-1.235573179	0.3302763572	0.5118704429	1.3848159368	0.2242757128	1.5420555658	-0.369848031	-1.684433132	-0.380205262	0.3149753381
t000051	1950/tv_com_1950_58.txt	1950	8	0	0	0	3	-6	0	-2	0	4	1	9	0	10	7	-2	0.0505557914	-0.996474713	0.3230711294	-0.820591439	-5.616934215	-3.740630031	-2.061312352	-1.557541214	0.4030720217	-2.090515977	0.0812352553	0.0815477369	-1.017057035	-0.134941083	0.1672007296	-0.151905178	0.2268139066	-1.543495345	0.2021531924	-0.369521851	-3.316995625	-1.937785557	-0.947055811
t000052	1950/tv_com_1950_59.txt	1950	8	0	0	-2	-3	-2	-2	1	0	2	5	5	-1	10	16	0	1.1898212409	-1.938233052	-0.387054538	-1.473307126	-3.372271016	2.5859576653	0.7535284703	-0.312783617	1.9844059212	-2.307175964	1.0276351033	-0.432282735	0.216883681	-0.157894443	0.61701216	0.0665168803	1.5871135811	-2.122704508	0.3202902827	-0.952794931	-1.577693668	1.2140316112	0.6852703152
t000053	1950/tv_com_1950_60.txt	1950	6	-1	4	1	-2	2	0	0	1	15	10	8	6	0	19	6	2.1293642006	-0.229593459	1.9814512793	-0.03781868	1.8796637605	1.9011134516	-0.8212506	-1.163510822	3.3000443597	0.4507126413	1.3131299249	0.7967059977	0.5902654369	1.2087915406	-0.130418558	2.4691781852	2.7147042802	0.1105595912	1.6472906021	0.3794436589	1.2349645987	1.5549524961	-0.475834579
t000054	1950/tv_com_1950_61.txt	1950	8	0	-1	7	-2	0	0	2	1	1	9	5	3	7	9	3	1.7802972733	0.9017469743	-1.138716038	2.3904239266	-0.102243699	0.2266260086	2.997246024	-5.907417919	1.8121588283	-0.37177105	-0.748500558	-0.952096364	0.7213695258	0.217807961	0.0184639034	0.2548561121	1.7962280508	0.2649879622	-0.943608298	0.7191637813	0.3095629134	0.2222169848	1.5078549637
t000055	1950/tv_com_1950_62.txt	1950	5	1	0	2	0	-1	-1	0	-3	0	9	10	2	2	17	0	0.5988732818	0.550146426	-0.983077925	0.6773784738	-1.567935059	0.2063451045	-0.361779262	-2.047038785	2.7694514399	-0.710461582	0.0314535678	1.5266277228	0.8421890254	-0.817266017	-0.142686983	0.7118040325	1.6841623609	-0.080157578	-0.475812179	1.1020030983	-0.362873017	-0.305460456	-0.252233123
t000056	1950/tv_com_1950_63.txt	1950	8	0	0	-4	0	-2	1	1	4	1	4	2	1	7	12	-3	1.6021015481	-2.933809256	-0.129500188	-1.12524098	-2.320784489	-0.689385208	0.5750290725	2.0960265927	0.997088027	-1.389980477	0.868324006	-0.506537439	-0.193851943	-1.345248591	1.3236394625	0.0201970017	1.2995947876	-2.161894867	0.369411909	-0.81588921	-1.257318216	-1.0173169	0.9493342675
t000057	1950/tv_com_1950_64.txt	1950	1	-1	1	0	-1	-1	0	0	0	6	2	3	2	1	10	3	-0.664410473	-0.037567239	1.1512124859	-0.422705044	-0.460145641	0.2206371267	0.3131750713	-0.209277934	0.9107641775	-0.36486324	1.1385435356	0.2360246942	1.2235268023	-0.257709923	-0.6621224	0.6464659768	0.1231768523	-0.20121524	1.1448780108	-0.093340175	0.3816905807	-0.018536398	-0.174473664
t000058	1950/tv_com_1950_66.txt	1950	7	2	-3	-5	-2	0	-1	0	0	1	8	5	0	18	8	2	1.0702186877	-2.588717388	-3.727026115	-2.799548732	-1.69898127	1.7464448541	-0.482159699	1.9319413627	1.6626072531	-2.382081983	-0.965171233	-2.567839245	-0.556397897	1.1030848131	0.3223570428	-0.520300682	1.3664129704	-2.485399686	-2.346098674	-2.683693989	-1.127689584	1.4247648336	-0.079901328
t000059	1950/tv_com_1950_67.txt	1950	4	-1	2	1	2	0	2	2	2	5	9	12	3	4	9	-1	1.1509487631	-0.698881578	1.631321158	2.6360817969	0.7522163534	-1.549514318	1.3137319947	0.2550351474	1.8046791095	-0.016250223	-0.743981057	0.9780880278	-0.860721489	-0.109590633	0.5139750086	0.3936424736	1.4778139363	-0.357565901	0.4436700505	1.8070849124	-0.054252568	-0.829552476	0.9138535017
t000060	1950/tv_com_1950_68.txt	1950	5	6	1	-1	-2	1	4	0	0	4	28	5	0	1	9	0	3.8613763165	2.3963944316	-2.710973079	-1.929999702	1.2156591477	-2.290640098	0.9202951517	2.2643438981	4.819332753	3.1377516956	-2.125154896	-0.563175176	-0.824298309	-0.284493765	-0.035157937	-1.606621974	4.3403545348	2.7670730636	-2.418063988	-1.246587439	0.1956804194	-1.287566932	0.4425686074
t000061	1950/tv_com_1950_69.txt	1950	1	2	9	0	1	0	2	0	0	18	13	1	0	1	10	4	2.6260696115	3.107894688	4.5470886414	1.1691196498	0.776254303	-0.860591812	-1.520556813	2.8279207849	2.8733865281	1.4979886313	1.2126691587	-0.687327602	-0.596140749	1.0112126471	-0.9256523	-0.079139588	2.7497280698	2.3029416597	2.8798789001	0.2408960239	0.090056777	0.0753104176	-1.223104557
t000062	1950/tv_com_1950_70.txt	1950	11	7	2	-1	-1	-1	2	1	0	-1	14	1	1	3	2	-1	5.5231987802	1.7158343837	-2.795333079	-0.699407688	-2.367103051	-1.314982936	0.5064839656	1.6983339323	1.6658841212	1.4783843473	-1.694705418	-1.100618839	-0.029747036	-1.211943781	-0.466971134	-1.438860091	3.5945414507	1.5971093655	-2.245019249	-0.900013264	-1.198425044	-1.263463359	0.0197564158
