file_id	group_filename	decade	ver1	ver2	ver3	ver4	ver5	ver6	ver7	ver8	vis1	vis2	vis3	vis4	vis5	vis6	vis7	vis8	V1	V2	V3	V4	V5	V6	V7	V8	W1	W2	W3	W4	W5	W6	W7	W8	cross1	cross2	cross3	cross4	cross5	cross6	cross7
t000001	1950/tv_com_1950_1.txt	1950	1	-1	0	-3	1	0	2	2	7	0	6	3	1	3	9	2	-0.160503995	-1.91129659	0.6268629781	0.7453607938	0.6780399514	-0.925068866	1.70620156	3.0130019935	1.1109790444	-0.000727785	0.3741745625	-0.463342794	1.2424277911	-0.385806359	1.1567922874	-0.244604284	0.4752375247	-0.956012188	0.5005187703	0.1410089999	0.9602338713	-0.655437613	1.4314969237
t000002	1950/tv_com_1950_3.txt	1950	8	0	3	1	1	1	0	2	3	5	13	16	0	2	19	-1	2.7046488177	-0.851719877	0.9748312539	2.6201479362	0.2082429251	0.9091977025	0.1357742814	-0.460811597	3.6322535545	-0.237742853	0.2755975064	2.3433904314	-0.499278052	0.0972000403	1.4298594423	0.3636395905	3.1684511861	-0.544731365	0.6252143802	2.4817691838	-0.145517563	0.5031988714	0.7828168619
t000003	1950/tv_com_1950_5.txt	1950	4	1	-1	-8	0	-1	2	0	1	2	2	7	3	13	13	2	0.6845498314	-3.19869536	-1.190720256	-3.126318855	-1.055940931	-1.089919342	-0.308661688	5.5229318143	1.1631933868	-2.755489356	0.246337953	-0.970220142	0.246923624	0.5467188798	0.602893551	1.0747214393	0.9238716091	-2.977092358	-0.472191152	-2.048269499	-0.404508654	-0.271600231	0.1471159315
t000004	1950/tv_com_1950_6.txt	1950	2	1	-1	-1	-6	1	-1	1	1	3	5	4	0	14	8	0	0.3797019157	0.1351966813	-1.535220719	-2.398069746	0.2601883893	3.554816394	2.1703712326	-0.092528856	1.0762195757	-2.087338549	-0.12201019	-1.75343491	-0.719777256	0.3219104782	0.4392717603	-0.377952149	0.7279607457	-0.976070934	-0.828615455	-2.075752328	-0.229794433	1.9383634361	1.3048214965
t000005	1950/tv_com_1950_7.txt	1950	3	0	1	0	0	-1	0	1	2	8	0	7	1	4	6	0	0.3119070825	-0.185050213	0.5267101296	0.7348264103	-1.027188828	0.1164750815	0.6581828051	0.1484344826	0.134261377	-0.848122019	0.794008619	0.4990272386	-0.388060186	-0.080241832	-0.078305676	0.2039852949	0.2230842298	-0.516586116	0.6603593743	0.6169268245	-0.707624507	0.0181166248	0.2899385646
t000006	1950/tv_com_1950_8.txt	1950	5	-1	-2	-2	-3	0	1	0	4	3	7	8	2	10	10	0	0.3158568974	-2.223463816	-1.068540527	-2.574465942	0.3149003866	0.287294374	1.1744669633	-0.103846058	1.5089220259	-1.26002155	-0.323409995	-0.617961141	-0.586068412	0.2604714797	1.1488415439	0.2197221964	0.9123894617	-1.741742683	-0.695975261	-1.596213542	-0.135584013	0.2738829269	1.1616542536
t000007	1950/tv_com_1950_9.txt	1950	2	-1	1	0	-2	0	0	0	4	4	13	2	3	6	9	0	-0.127986018	-0.241647199	0.8777192702	-0.828000393	0.3584046948	0.9221639039	0.3585651058	-0.475426166	2.1897668919	0.544642654	-0.549046947	-1.315169301	-0.437576922	-0.396853806	0.8456980669	-0.073963341	1.030890437	0.1514977275	0.1643361616	-1.071584847	-0.039586114	0.262655049	0.6021315864
t000008	1950/tv_com_1950_10.txt	1950	3	-5	1	0	-2	0	-1	-1	3	1	2	5	0	15	5	1	-1.387540182	-2.451894161	2.6616860104	-1.338067264	0.7689048636	1.6637328126	-0.766796092	-2.117371464	0.2633640317	-2.374248369	-0.36609942	-1.906418094	-0.36368091	0.621049676	0.6383638753	-0.499516058	-0.562088075	-2.413071265	1.1477932952	-1.622242679	0.2026119768	1.1423912443	-0.064216108
t000009	1950/tv_com_1950_11.txt	1950	6	-1	2	-1	0	1	0	0	1	3	5	7	-1	7	9	-1	1.3297182021	-1.555501764	0.8727680342	0.0224365207	0.7146350343	0.859033149	-1.190976231	0.0743269692	1.2222800135	-1.178370576	0.2401665941	0.0779144443	-0.346397448	-0.280072371	0.3137754399	-0.520022642	1.2759991078	-1.36693617	0.5564673142	0.0501754825	0.1841187932	0.289480389	-0.438600396
t000010	1950/tv_com_1950_12.txt	1950	8	0	2	-2	-6	1	-3	0	0	5	3	7	1	15	4	3	2.029106144	-1.322134324	0.0540985861	-2.903645611	-0.899568226	5.5131540261	-0.553568311	-0.725681494	0.5630334779	-2.108807511	-0.699954599	-1.810423233	-0.586417941	1.4203150064	-0.306632735	-0.114227584	1.296069811	-1.715470918	-0.322928006	-2.357034422	-0.742993084	3.4667345163	-0.430100523
