Effect	decade	N	Mean fac2	SD fac2
decade	1950	103	0.05825243	2.36736489
decade	1960	103	0.03883495	1.50764282
decade	1970	103	-0.05825243	0.86120348
decade	1980	103	-0.06796117	0.97278795
decade	1990	100	0.07000000	0.76877181
decade	2000	102	-0.17647059	0.80113490
decade	2010	103	-0.03883495	0.92802056
decade	2020	103	-0.04854369	0.91156664
