Effect	decade	N	Mean fac3	SD fac3
decade	1950	103	1.24271845	2.78464283
decade	1960	103	0.78640777	1.40482701
decade	1970	103	0.39805825	0.95321752
decade	1980	103	0.31067961	0.72799922
decade	1990	100	0.24000000	0.74018835
decade	2000	102	0.22549020	0.62784974
decade	2010	103	0.33980583	0.65008895
decade	2020	103	0.29126214	0.76223443
