Now	RB	now
,	,	,
another	DT	another
way	NN	way
to	TO	to
spell	VB	spell
relief	NN	relief
,	,	,
sodium-free	JJ	<unknown>
Rolaids	NP	Rolaids
.	SENT	.
Sodium-free	NP	<unknown>
Rolaids	NP	Rolaids
gives	VBZ	give
millions	NNS	million
100	CD	@card@
%	NN	%
relief	NN	relief
for	IN	for
acid	JJ	acid
indigestion	NN	indigestion
,	,	,
plus	CC	plus
it	PP	it
's	VBZ	be
rich	JJ	rich
in	IN	in
calcium	NN	calcium
.	SENT	.
Sodium-free	NP	<unknown>
Rolaids	NP	Rolaids
,	,	,
for	IN	for
extra	JJ	extra
calcium	NN	calcium
and	CC	and
100	CD	@card@
%	NN	%
.	SENT	.
