When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
cleaning	VBG	clean
your	PP$	your
carpet	NN	carpet
,	,	,
choose	VB	choose
your	PP$	your
weapon	NN	weapon
wisely	RB	wisely
.	SENT	.
Introducing	VBG	introduce
Woolite	NN	Woolite
OxyDeep	NP	<unknown>
2X	NP	2X
,	,	,
the	DT	the
only	JJ	only
double-barreled	JJ	double-barreled
aerosol	NN	aerosol
cleaner	NN	cleaner
that	WDT	that
permanently	RB	permanently
removes	VBZ	remove
stains	VBZ	stain
all	PDT	all
the	DT	the
way	NN	way
through	RB	through
.	SENT	.
New	JJ	new
from	IN	from
Woolite	NN	Woolite
.	SENT	.
