lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
website	27	20	262.14	27.74	5.88	53.52	161.72	POSKW
heart-shaped	14	3	135.92	4.16	2.12	43.18	188.12	POSKW
silver	19	22	184.47	30.51	5.12	28.28	143.23	POSKW
watermark/logo	10	5	97.09	6.93	1.88	23.83	173.33	POSKW
blue	72	281	699.03	389.74	44.12	17.35	56.82	POSKW
pink	30	82	291.26	113.73	14.0	16.5	87.67	POSKW
gather	16	31	155.34	43.0	5.88	14.54	113.29	POSKW
lower-right	18	40	174.76	55.48	7.25	13.69	103.61	POSKW
red	66	277	640.78	384.19	42.88	12.52	50.07	POSKW
serious	18	43	174.76	59.64	7.62	12.33	98.22	POSKW
cool	10	15	97.09	20.8	3.12	11.94	129.41	POSKW
pass	22	61	213.59	84.6	10.38	11.79	86.51	POSKW
lean	35	121	339.81	167.82	19.5	11.78	67.76	POSKW
move	75	334	728.16	463.25	51.12	11.36	44.47	POSKW
night	10	16	97.09	22.19	3.25	11.22	125.58	POSKW
pedestrian	6	5	58.25	6.93	1.38	11.13	157.45	POSKW
tense	6	5	58.25	6.93	1.38	11.13	157.45	POSKW
flip	5	3	48.54	4.16	1.0	11.01	168.42	POSKW
mobile	5	3	48.54	4.16	1.0	11.01	168.42	POSKW
wide	53	217	514.56	300.97	33.75	10.95	52.38	POSKW
group	22	64	213.59	88.77	10.75	10.78	82.57	POSKW
crowd	10	17	97.09	23.58	3.38	10.53	121.84	POSKW
overhead	20	56	194.17	77.67	9.5	10.53	85.71	POSKW
dynamic	7	8	67.96	11.1	1.88	10.52	143.86	POSKW
sleeveless	12	24	116.5	33.29	4.5	10.49	111.11	POSKW
continue	44	174	427.18	241.33	27.25	10.18	55.6	POSKW
approach	12	25	116.5	34.67	4.62	9.96	108.26	POSKW
high-angle	6	6	58.25	8.32	1.5	9.92	150.0	POSKW
mail	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
teenager	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
desktop	5	4	48.54	5.55	1.12	9.5	158.97	POSKW
entrance	13	30	126.21	41.61	5.38	9.37	100.83	POSKW
city	14	34	135.92	47.16	6.0	9.36	96.97	POSKW
step	11	23	106.8	31.9	4.25	9.08	108.0	POSKW
yellow	41	165	398.06	228.85	25.75	8.97	53.98	POSKW
blue-green	6	7	58.25	9.71	1.62	8.88	142.86	POSKW
cross	11	24	106.8	33.29	4.38	8.58	104.95	POSKW
building	24	81	233.01	112.34	13.12	8.56	69.88	POSKW
sky	25	86	242.72	119.28	13.88	8.52	68.2	POSKW
computer	9	17	87.38	23.58	3.25	8.43	115.0	POSKW
splash	8	14	77.67	19.42	2.75	8.17	120.0	POSKW
modern	13	33	126.21	45.77	5.75	8.1	93.55	POSKW
route	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
rush	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
sheer	4	3	38.83	4.16	0.88	7.88	161.29	POSKW
street	19	60	184.47	83.22	9.88	7.88	75.65	POSKW
disclaimer	12	30	116.5	41.61	5.25	7.66	94.74	POSKW
walk	23	80	223.3	110.96	12.88	7.62	67.22	POSKW
driver	15	43	145.63	59.64	7.25	7.56	83.78	POSKW
press	15	43	145.63	59.64	7.25	7.56	83.78	POSKW
blue-and-white	7	12	67.96	16.64	2.38	7.31	121.31	POSKW
feather	5	6	48.54	8.32	1.38	7.24	141.46	POSKW
sea	5	6	48.54	8.32	1.38	7.24	141.46	POSKW
gray	22	77	213.59	106.8	12.38	7.18	66.67	POSKW
green	41	176	398.06	244.11	27.12	7.17	47.95	POSKW
shopping	6	9	58.25	12.48	1.88	7.17	129.41	POSKW
spot	6	9	58.25	12.48	1.88	7.17	129.41	POSKW
exterior	22	78	213.59	108.18	12.5	6.94	65.52	POSKW
fast	9	20	87.38	27.74	3.62	6.85	103.61	POSKW
react	16	50	155.34	69.35	8.25	6.79	76.54	POSKW
wind	7	13	67.96	18.03	2.5	6.69	116.13	POSKW
beak	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
logo-like	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
peak	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
receive	4	4	38.83	5.55	1.0	6.61	150.0	POSKW
tan	8	17	77.67	23.58	3.12	6.47	106.85	POSKW
wipe	8	17	77.67	23.58	3.12	6.47	106.85	POSKW
hip	6	10	58.25	13.87	2.0	6.45	123.08	POSKW
low-angle	9	21	87.38	29.13	3.75	6.39	100.0	POSKW
barrier	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
blow	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
curly-haired	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
hoodie	5	7	48.54	9.71	1.5	6.36	133.33	POSKW
more	19	66	184.47	91.54	10.62	6.32	67.34	POSKW
bright	71	354	689.32	490.98	53.12	6.31	33.61	POSKW
direction	7	14	67.96	19.42	2.62	6.12	111.11	POSKW
activity	10	26	97.09	36.06	4.5	5.99	91.67	POSKW
monitor	8	18	77.67	24.97	3.25	5.98	102.7	POSKW
follow	66	329	640.78	456.31	49.38	5.87	33.63	POSKW
chair	21	78	203.88	108.18	12.38	5.85	61.33	POSKW
outside	12	35	116.5	48.54	5.88	5.85	82.35	POSKW
customer	6	11	58.25	15.26	2.12	5.82	116.98	POSKW
anthropomorphic	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
canyon	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
expressive	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
formation	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
intense	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
