lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
inset	10	9	97.09	12.48	2.38	17.71	154.43	POSKW
begin	79	351	766.99	486.82	53.75	12.08	44.69	POSKW
nozzle	6	5	58.25	6.93	1.38	11.13	157.45	POSKW
deodorant	5	3	48.54	4.16	1.0	11.01	168.42	POSKW
electronic	7	9	67.96	12.48	2.0	9.59	137.93	POSKW
underexpose	4	2	38.83	2.77	0.75	9.53	173.33	POSKW
colorful	20	67	194.17	92.93	10.88	7.26	70.53	POSKW
fade-out	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
participate	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
partition	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
portable	5	8	48.54	11.1	1.62	5.61	125.58	POSKW
purpose	4	5	38.83	6.93	1.12	5.61	139.39	POSKW
device	17	60	165.05	83.22	9.62	5.43	65.92	POSKW
spoon	7	16	67.96	22.19	2.88	5.12	101.54	POSKW
child	26	108	252.43	149.79	16.75	5.11	51.03	POSKW
milk	5	9	48.54	12.48	1.75	4.95	118.18	POSKW
blouse	9	25	87.38	34.67	4.25	4.81	86.36	POSKW
pair	7	17	67.96	23.58	3.0	4.68	96.97	POSKW
indistinct	23	95	223.3	131.76	14.75	4.61	51.56	POSKW
flower	11	35	106.8	48.54	5.75	4.49	75.0	POSKW
soap	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
taste	5	10	48.54	13.87	1.88	4.37	111.11	POSKW
double	6	14	58.25	19.42	2.5	4.26	100.0	POSKW
exposure	4	7	38.83	9.71	1.38	4.08	120.0	POSKW
half	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
key	5	11	48.54	15.26	2.0	3.86	104.35	POSKW
close	17	288	165.05	399.45	38.12	16.42	-83.05	NEGKW
line	10	208	97.09	288.49	27.25	15.97	-99.28	NEGKW
watermark	7	161	67.96	223.3	21.0	13.91	-106.67	NEGKW
move	29	380	281.55	527.05	51.12	12.71	-60.72	NEGKW
use	7	142	67.96	196.95	18.62	10.56	-97.38	NEGKW
gesture	5	111	48.54	153.95	14.5	9.22	-104.11	NEGKW
**opening	4	94	38.83	130.37	12.25	8.32	-108.2	NEGKW
circular	11	169	106.8	234.4	22.5	8.08	-74.8	NEGKW
vehicle	7	121	67.96	167.82	16.0	7.13	-84.71	NEGKW
bright	37	388	359.22	538.14	53.12	6.17	-39.88	NEGKW
end	29	319	281.55	442.44	43.5	6.16	-44.44	NEGKW
floor	7	113	67.96	156.73	15.0	5.92	-79.01	NEGKW
bold	4	80	38.83	110.96	10.5	5.84	-96.3	NEGKW
room	13	171	126.21	237.17	23.0	5.77	-61.07	NEGKW
first	8	122	77.67	169.21	16.25	5.75	-74.16	NEGKW
full	6	101	58.25	140.08	13.38	5.7	-82.52	NEGKW
legible	11	149	106.8	206.66	20.0	5.41	-63.72	NEGKW
building	6	99	58.25	137.31	13.12	5.4	-80.85	NEGKW
multiple	6	98	58.25	135.92	13.0	5.25	-80.0	NEGKW
wide	22	248	213.59	343.97	33.75	5.25	-46.77	NEGKW
place	10	136	97.09	188.63	18.25	4.99	-64.08	NEGKW
become	5	85	48.54	117.89	11.25	4.87	-83.33	NEGKW
environment	5	85	48.54	117.89	11.25	4.87	-83.33	NEGKW
body	11	144	106.8	199.72	19.38	4.8	-60.63	NEGKW
style	9	124	87.38	171.98	16.62	4.69	-65.24	NEGKW
camera	37	368	359.22	510.4	50.62	4.57	-34.77	NEGKW
kitchen	6	93	58.25	128.99	12.38	4.52	-75.56	NEGKW
overhead	4	72	38.83	99.86	9.5	4.52	-88.0	NEGKW
view	32	324	310.68	449.38	44.5	4.39	-36.5	NEGKW
drive	4	71	38.83	98.47	9.38	4.36	-86.87	NEGKW
see	16	185	155.34	256.59	25.12	4.27	-49.16	NEGKW
shelf	7	100	67.96	138.7	13.38	4.11	-68.46	NEGKW
continue	18	200	174.76	277.39	27.25	4.01	-45.4	NEGKW
cup	4	68	38.83	94.31	9.0	3.9	-83.33	NEGKW
leg	4	68	38.83	94.31	9.0	3.9	-83.33	NEGKW
open	38	367	368.93	509.02	50.62	3.89	-31.91	NEGKW
car	11	136	106.8	188.63	18.38	3.88	-55.4	NEGKW
print	7	98	67.96	135.92	13.12	3.85	-66.67	NEGKW
pass	5	78	48.54	108.18	10.38	3.84	-76.11	NOTKW
something	8	107	77.67	148.4	14.38	3.77	-62.58	NOTKW
unfold	4	67	38.83	92.93	8.88	3.75	-82.11	NOTKW
visual	40	198	388.35	274.62	29.75	3.7	34.31	NOTKW
silhouette	17	69	165.05	95.7	10.75	3.62	53.19	NOTKW
walk	7	96	67.96	133.15	12.88	3.59	-64.83	NOTKW
discernible	9	29	87.38	40.22	4.75	3.57	73.91	NOTKW
fall	7	20	67.96	27.74	3.38	3.55	84.06	NOTKW
control	15	59	145.63	81.83	9.25	3.53	56.1	NOTKW
bake	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
cereal	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
fresh	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
poster	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
public	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
topping	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
whole	4	8	38.83	11.1	1.5	3.5	111.11	NOTKW
hand	45	417	436.89	578.36	57.75	3.45	-27.87	NOTKW
diagonal	6	16	58.25	22.19	2.75	3.44	89.66	NOTKW
little	6	16	58.25	22.19	2.75	3.44	89.66	NOTKW
adult	23	103	223.3	142.86	15.75	3.41	43.94	NOTKW
guide	5	12	48.54	16.64	2.12	3.4	97.87	NOTKW
horizontal	15	60	145.63	83.22	9.38	3.35	54.55	NOTKW
area	42	391	407.77	542.3	54.12	3.33	-28.32	NOTKW
face	50	455	485.44	631.07	63.12	3.33	-26.09	NOTKW
standing	10	121	97.09	167.82	16.38	3.23	-53.4	NOTKW
tree	10	121	97.09	167.82	16.38	3.23	-53.4	NOTKW
