Oh	UH	oh
,	,	,
I	PP	I
'm	VBP	be
such	JJ	such
a	DT	a
dry	JJ	dry
baby	NN	baby
.	SENT	.
Look	VB	look
at	IN	at
my	PP$	my
dry	JJ	dry
skin	NN	skin
.	SENT	.
But	CC	but
I	PP	I
'm	VBP	be
bathing	VBG	bath
this	DT	this
leg	NN	leg
with	IN	with
Calgon	NP	Calgon
Bath	NP	Bath
Oil	NP	Oil
Beads	VBZ	bead
.	SENT	.
It	PP	it
's	VBZ	be
the	DT	the
birth	NN	birth
of	IN	of
clean	JJ	clean
softness	NN	softness
.	SENT	.
With	IN	with
Calgon	NP	Calgon
's	POS	's
moisturizers	NNS	moisturizer
,	,	,
an	DT	an
exciting	JJ	exciting
clean	JJ	clean
softness	NN	softness
is	VBZ	be
born	VBN	bear
on	IN	on
my	PP$	my
skin	NN	skin
.	SENT	.
Look	NN	look
,	,	,
this	DT	this
leg	NN	leg
,	,	,
dry	JJ	dry
skin	NN	skin
.	SENT	.
But	CC	but
here	RB	here
,	,	,
Calgon	NP	Calgon
's	POS	's
clean	JJ	clean
softness	NN	softness
,	,	,
without	IN	without
greasiness	NN	greasiness
.	SENT	.
Do	VBP	do
n't	RB	n't
be	VB	be
dry	JJ	dry
,	,	,
baby	NN	baby
.	SENT	.
Enjoy	VB	enjoy
Calgon	NP	Calgon
Bath	NP	Bath
Oil	NP	Oil
Beads	VBZ	bead
,	,	,
the	DT	the
birth	NN	birth
of	IN	of
clean	JJ	clean
softness	NN	softness
.	SENT	.
