Did	VBD	do
you	PP	you
know	VBP	know
there	EX	there
's	VBZ	be
a	DT	a
very	RB	very
special	JJ	special
dog	NN	dog
food	NN	food
with	IN	with
so	RB	so
much	JJ	much
protein	NN	protein
that	IN	that
high	JJ	high
protein	NN	protein
is	VBZ	be
its	PP$	its
middle	JJ	middle
name	NN	name
?	SENT	?
It	PP	it
's	VBZ	be
from	IN	from
Purina	NP	Purina
and	CC	and
it	PP	it
's	VBZ	be
terrific	JJ	terrific
for	IN	for
normally	RB	normally
active	JJ	active
dogs	NNS	dog
like	IN	like
yours	PP	yours
.	SENT	.
It	PP	it
's	VBZ	be
the	DT	the
dog	NN	dog
meal	NN	meal
with	IN	with
the	DT	the
blue	JJ	blue
and	CC	and
white	JJ	white
checkerboard	NN	checkerboard
but	CC	but
most	RBS	most
importantly	RB	importantly
it	PP	it
has	VBZ	have
more	JJR	more
protein	NN	protein
for	IN	for
active	JJ	active
dogs	NNS	dog
than	IN	than
any	DT	any
other	JJ	other
leading	VBG	lead
dog	NN	dog
food	NN	food
.	SENT	.
Purina	NP	Purina
high	JJ	high
protein	NN	protein
dog	NN	dog
meal	NN	meal
so	RB	so
rich	JJ	rich
in	IN	in
protein	NN	protein
that	IN	that
high	JJ	high
protein	NN	protein
is	VBZ	be
its	PP$	its
middle	JJ	middle
name	NN	name
.	SENT	.
