When	WRB	when
you	PP	you
have	VBP	have
a	DT	a
headache	NN	headache
,	,	,
what	WP	what
does	VBZ	do
extra	JJ	extra
strength	NN	strength
mean	VB	mean
to	TO	to
you	PP	you
?	SENT	?
It	PP	it
means	VBZ	mean
your	PP$	your
headache	NN	headache
's	VBZ	be
gone	VBN	go
,	,	,
you	PP	you
're	VBP	be
feeling	VBG	feel
good	JJ	good
.	SENT	.
It	PP	it
means	VBZ	mean
Excedrin	NP	Excedrin
.	SENT	.
It	PP	it
means	VBZ	mean
fast	JJ	fast
relief	NN	relief
.	SENT	.
Plain	JJ	plain
and	CC	and
simple	JJ	simple
,	,	,
it	PP	it
means	VBZ	mean
Excedrin	NP	Excedrin
.	SENT	.
Extra	JJ	extra
strength	NN	strength
means	VBZ	mean
no	DT	no
more	JJR	more
headache	NN	headache
.	SENT	.
Extra	JJ	extra
strength	NN	strength
means	VBZ	mean
Excedrin	NP	Excedrin
.	SENT	.
Excedrin	NP	Excedrin
.	SENT	.
With	IN	with
more	JJR	more
pain	NN	pain
reliever	NN	reliever
,	,	,
more	RBR	more
total	JJ	total
strength	NN	strength
than	IN	than
regular	JJ	regular
strength	NN	strength
aspirin	NN	aspirin
or	CC	or
non-aspirin	NN	non-aspirin
tablets	NNS	tablet
.	SENT	.
For	IN	for
millions	NNS	million
of	IN	of
people	NNS	people
,	,	,
extra	JJ	extra
strength	NN	strength
means	VBZ	mean
Excedrin	NP	Excedrin
.	SENT	.
Extra	JJ	extra
strength	NN	strength
means	VBZ	mean
Excedrin	NP	Excedrin
.	SENT	.
