Did	VBD	do
you	PP	you
know	VBP	know
that	IN	that
70	CD	@card@
%	NN	%
of	IN	of
the	DT	the
soils	NNS	soil
on	IN	on
your	PP$	your
clothes	NNS	clothes
are	VBP	be
invisible	JJ	invisible
?	SENT	?
Under	IN	under
UV	NP	UV
light	NN	light
,	,	,
you	PP	you
see	VBP	see
the	DT	the
invisible	JJ	invisible
dirt	NN	dirt
trapped	VBN	trap
deep	RB	deep
down	RB	down
.	SENT	.
Try	VB	try
new	JJ	new
Tide	NP	Tide
Pods	NNS	pod
Hygienic	JJ	hygienic
Clean	NP	Clean
Heavy	NP	Heavy
Duty	NP	Duty
.	SENT	.
For	IN	for
a	DT	a
deep	RB	deep
clean	JJ	clean
,	,	,
just	RB	just
toss	VB	toss
in	IN	in
a	DT	a
pack	NN	pack
.	SENT	.
Formulated	VBN	formulate
with	IN	with
10	CD	@card@
concentrated	JJ	concentrated
cleaning	NN	cleaning
actives	NNS	active
that	WDT	that
clean	VBP	clean
deep	RB	deep
down	RB	down
into	IN	into
the	DT	the
fabric	NN	fabric
to	TO	to
remove	VB	remove
invisible	JJ	invisible
dirt	NN	dirt
.	SENT	.
See	VB	see
the	DT	the
difference	NN	difference
?	SENT	?
After	IN	after
being	VBG	be
washed	VBN	wash
with	IN	with
Tide	NP	Tide
Hygienic	JJ	hygienic
Clean	NP	Clean
.	SENT	.
For	IN	for
a	DT	a
deep	RB	deep
clean	JJ	clean
,	,	,
try	VB	try
Tide	NP	Tide
Hygienic	JJ	hygienic
Clean	NP	Clean
with	IN	with
a	DT	a
100	CD	@card@
%	NN	%
money-back	JJ	money-back
guarantee	NN	guarantee
.	SENT	.
If	IN	if
it	PP	it
's	VBZ	be
gotta	VBN	gotta
be	VB	be
clean	JJ	clean
,	,	,
it	PP	it
's	VBZ	be
gotta	VBN	gotta
be	VB	be
Tide	NP	Tide
.	SENT	.
