Your	PP$	your
resume	NN	resume
says	VBZ	say
you	PP	you
're	VBP	be
a	DT	a
professional	JJ	professional
floor	NN	floor
cleaner	NN	cleaner
,	,	,
Mr.	NP	Mr.
Clean	NP	Clean
.	SENT	.
Mr.	NP	Mr.
Clean	NP	Clean
Professional	NP	Professional
lifts	VBZ	lift
away	RB	away
grease	VB	grease
and	CC	and
grime	VB	grime
in	IN	in
half	PDT	half
the	DT	the
time	NN	time
.	SENT	.
Did	VBD	do
you	PP	you
know	VBP	know
these	DT	these
floors	NNS	floor
were	VBD	be
white	JJ	white
?	SENT	?
You	PP	you
're	VBP	be
hired	VBN	hire
.	SENT	.
