When	WRB	when
pain	NN	pain
wears	VBZ	wear
you	PP	you
down	RP	down
,	,	,
Icy	NP	Icy
Hot	NP	Hot
Dry	NP	Dry
Spray	NP	Spray
delivers	VBZ	deliver
.	SENT	.
Feel	VB	feel
it	PP	it
working	VBG	work
instantly	RB	instantly
,	,	,
providing	VBG	provide
powerful	JJ	powerful
relief	NN	relief
to	TO	to
muscles	NNS	muscle
and	CC	and
joints	NNS	joint
.	SENT	.
Icy	NP	Icy
Hot	NP	Hot
.	SENT	.
And	CC	and
Icy	NP	Icy
Hot	NP	Hot
now	RB	now
has	VBZ	have
a	DT	a
bold	JJ	bold
new	JJ	new
look	NN	look
,	,	,
with	IN	with
the	DT	the
same	JJ	same
powerful	JJ	powerful
relief	NN	relief
to	TO	to
help	VB	help
you	PP	you
rise	VB	rise
from	IN	from
pain	NN	pain
.	SENT	.
