file_id	group_filename	decade	ver1	ver2	ver3	ver4	ver5	ver6	ver7	ver8	vis1	vis2	vis3	vis4	vis5	vis6	vis7	vis8
t000001	1950/tv_com_1950_1.txt	1950	1	-1	0	-3	0	1	2	2	1	0	1	1	2	1	1	1
t000002	1950/tv_com_1950_3.txt	1950	8	0	3	1	1	1	0	2	0	8	0	2	2	3	2	-1
t000003	1950/tv_com_1950_5.txt	1950	4	1	-1	-8	-1	0	2	0	1	0	2	0	2	0	5	0
t000004	1950/tv_com_1950_6.txt	1950	2	1	-1	-1	1	-6	-1	1	2	-1	3	1	3	0	3	0
t000005	1950/tv_com_1950_7.txt	1950	3	-1	1	-1	-1	1	0	2	1	0	0	3	0	0	2	0
t000006	1950/tv_com_1950_8.txt	1950	5	-1	-2	-2	0	-3	1	0	3	2	3	0	4	6	6	0
t000007	1950/tv_com_1950_9.txt	1950	2	-2	1	0	0	-1	0	0	0	0	-1	0	0	0	3	1
t000008	1950/tv_com_1950_10.txt	1950	3	-6	1	0	0	-1	-1	-1	1	3	1	1	8	0	0	0
t000009	1950/tv_com_1950_11.txt	1950	6	-1	2	-1	1	0	0	0	-1	1	1	4	3	0	2	0
t000010	1950/tv_com_1950_12.txt	1950	8	0	2	-3	1	-6	-2	0	6	3	0	0	5	-2	4	0
t000011	1950/tv_com_1950_13.txt	1950	2	0	2	-5	0	0	-1	0	3	4	5	0	1	2	4	1
t000012	1950/tv_com_1950_14.txt	1950	4	-2	0	0	1	-1	2	0	12	6	1	3	5	0	0	-1
t000013	1950/tv_com_1950_15.txt	1950	6	-2	0	-8	-1	0	0	0	0	2	2	0	0	-1	7	0
t000014	1950/tv_com_1950_16.txt	1950	6	0	1	-2	-1	1	1	0	2	1	4	-1	3	1	2	1
t000015	1950/tv_com_1950_18.txt	1950	-2	-1	-5	0	1	-1	0	0	1	0	3	0	3	1	9	0
t000016	1950/tv_com_1950_19.txt	1950	8	-1	-2	-2	-1	-1	1	1	2	1	2	2	8	2	6	0
t000017	1950/tv_com_1950_20.txt	1950	4	-1	0	-4	1	6	1	1	1	1	5	7	2	-1	4	0
t000018	1950/tv_com_1950_21.txt	1950	9	0	3	-4	-2	0	0	1	1	3	3	1	2	1	5	0
t000019	1950/tv_com_1950_22.txt	1950	3	0	-1	-1	3	-1	0	1	2	2	3	1	0	0	5	-1
t000020	1950/tv_com_1950_24.txt	1950	5	0	3	1	-2	-2	2	1	3	7	0	0	5	0	6	0
t000021	1950/tv_com_1950_25.txt	1950	3	-2	-1	2	0	1	-1	-1	4	-2	1	0	6	5	5	0
t000022	1950/tv_com_1950_26.txt	1950	11	-1	-1	0	0	8	0	0	1	5	1	3	5	0	3	0
t000023	1950/tv_com_1950_28.txt	1950	3	0	0	1	-3	3	0	-1	0	1	3	2	1	1	2	0
t000024	1950/tv_com_1950_29.txt	1950	7	1	2	-3	1	1	5	1	0	0	0	2	2	-1	2	2
t000025	1950/tv_com_1950_30.txt	1950	3	-3	0	0	0	2	0	1	2	1	3	0	2	2	0	1
t000026	1950/tv_com_1950_31.txt	1950	6	-1	0	-6	1	-1	2	1	1	1	2	0	1	0	2	2
t000027	1950/tv_com_1950_32.txt	1950	5	-1	-1	-1	-1	3	0	-2	6	-1	2	5	6	1	6	0
t000028	1950/tv_com_1950_33.txt	1950	5	0	-6	-1	-2	2	3	2	-2	1	1	-1	3	2	5	0
t000029	1950/tv_com_1950_34.txt	1950	4	0	2	-2	0	2	-1	4	-1	0	2	0	5	4	3	0
t000030	1950/tv_com_1950_35.txt	1950	4	1	0	-2	2	4	1	1	4	1	2	3	2	0	0	0
t000031	1950/tv_com_1950_36.txt	1950	5	-1	0	2	2	4	-1	4	0	2	0	0	0	2	9	0
t000032	1950/tv_com_1950_38.txt	1950	3	0	-2	0	-1	-1	0	1	-1	0	0	2	2	3	6	0
t000033	1950/tv_com_1950_39.txt	1950	3	-1	-1	-2	0	2	1	1	-2	2	3	2	1	0	4	0
t000034	1950/tv_com_1950_40.txt	1950	9	-3	0	-1	-3	2	0	-4	0	2	0	-1	3	4	4	1
t000035	1950/tv_com_1950_41.txt	1950	9	-2	0	1	0	4	5	6	0	0	2	-1	4	0	2	0
t000036	1950/tv_com_1950_42.txt	1950	3	3	6	0	0	0	-2	5	1	1	2	0	5	0	5	0
t000037	1950/tv_com_1950_43.txt	1950	4	0	0	-2	0	-4	1	3	-1	0	3	3	1	0	3	-1
t000038	1950/tv_com_1950_44.txt	1950	5	1	1	-3	0	-1	1	2	1	1	8	0	0	0	5	0
t000039	1950/tv_com_1950_45.txt	1950	8	0	0	-1	-1	3	-1	1	0	3	0	0	0	2	4	0
t000040	1950/tv_com_1950_46.txt	1950	6	-2	-2	0	-1	3	2	1	0	1	1	0	0	1	1	0
t000041	1950/tv_com_1950_47.txt	1950	3	0	0	-1	-1	1	1	2	5	1	3	1	5	0	5	-1
t000042	1950/tv_com_1950_48.txt	1950	9	-1	-2	-5	0	0	-1	0	-1	0	1	0	1	0	2	0
t000043	1950/tv_com_1950_49.txt	1950	6	1	0	1	0	-4	4	1	1	1	2	-2	4	0	7	-1
t000044	1950/tv_com_1950_50.txt	1950	4	6	2	1	1	-1	-1	1	-2	1	1	-3	7	-2	2	0
t000045	1950/tv_com_1950_51.txt	1950	4	0	0	0	0	3	0	-1	4	2	5	-1	2	2	4	-1
t000046	1950/tv_com_1950_52.txt	1950	10	4	1	3	-1	-2	0	4	2	7	3	-2	4	1	4	2
t000047	1950/tv_com_1950_53.txt	1950	7	-5	-1	-1	3	-7	0	3	2	2	0	0	8	0	2	1
t000048	1950/tv_com_1950_54.txt	1950	2	1	1	-1	-1	1	0	-1	1	1	0	-1	0	0	1	0
t000049	1950/tv_com_1950_55.txt	1950	3	-1	0	1	1	-3	0	5	-2	2	5	1	1	0	3	0
t000050	1950/tv_com_1950_57.txt	1950	7	0	2	2	-3	-2	-1	1	6	0	1	0	1	0	3	-1
t000051	1950/tv_com_1950_58.txt	1950	8	0	0	0	-5	2	0	-4	1	2	-1	2	1	1	3	1
t000052	1950/tv_com_1950_59.txt	1950	7	0	0	-3	-2	-3	-1	2	0	2	1	-2	1	0	7	-1
t000053	1950/tv_com_1950_60.txt	1950	6	-2	4	0	2	-2	0	0	19	-1	3	-4	5	0	10	-1
t000054	1950/tv_com_1950_61.txt	1950	8	0	-1	7	0	-1	0	3	3	3	0	2	7	0	3	1
t000055	1950/tv_com_1950_62.txt	1950	5	0	0	1	-1	0	-1	0	0	2	0	-2	0	0	2	-1
t000056	1950/tv_com_1950_63.txt	1950	7	0	0	-4	-2	1	1	3	2	1	1	2	3	0	3	1
t000057	1950/tv_com_1950_64.txt	1950	1	-1	1	0	-1	-1	0	0	3	0	3	0	-3	1	6	1
t000058	1950/tv_com_1950_66.txt	1950	7	1	-3	-6	0	-1	-1	1	1	2	1	0	4	2	9	1
t000059	1950/tv_com_1950_67.txt	1950	4	-1	2	1	0	2	2	2	0	2	1	1	1	1	6	0
t000060	1950/tv_com_1950_68.txt	1950	6	5	1	-2	0	-2	4	0	1	3	5	-7	1	1	6	0
t000061	1950/tv_com_1950_69.txt	1950	1	2	9	0	0	1	2	0	18	-1	0	-7	1	1	7	0
t000062	1950/tv_com_1950_70.txt	1950	11	8	2	0	-1	0	2	2	0	1	2	0	0	0	3	0
t000063	1950/tv_com_1950_71.txt	1950	8	-1	3	4	0	0	0	2	1	1	0	2	3	0	2	0
t000064	1950/tv_com_1950_72.txt	1950	6	6	3	4	-1	-2	2	-1	3	2	2	-3	0	1	4	-1
t000065	1950/tv_com_1950_73.txt	1950	5	7	-1	-2	1	0	1	2	-1	4	2	-7	0	-1	6	0
t000066	1950/tv_com_1950_74.txt	1950	7	6	4	2	1	-1	0	2	-2	4	1	-5	2	-1	2	0
t000067	1950/tv_com_1950_75.txt	1950	9	2	2	-3	0	0	-2	0	-1	4	1	-5	2	-1	1	0
t000068	1950/tv_com_1950_77.txt	1950	2	3	6	-1	0	-2	0	1	-1	-1	3	3	1	1	6	0
t000069	1950/tv_com_1950_78.txt	1950	8	-7	0	-1	0	-2	0	1	3	1	0	1	7	1	1	0
t000070	1950/tv_com_1950_79.txt	1950	1	0	0	-1	1	0	5	1	-1	1	1	0	0	0	4	0
t000071	1950/tv_com_1950_81.txt	1950	5	0	4	0	0	-3	0	-1	8	-1	1	0	0	1	1	0
t000072	1950/tv_com_1950_82.txt	1950	3	-1	1	1	-3	-2	0	2	9	2	1	4	4	2	9	-1
t000073	1950/tv_com_1950_83.txt	1950	4	0	3	-1	0	-3	0	-1	14	-1	6	0	2	0	3	0
t000074	1950/tv_com_1950_84.txt	1950	5	-2	3	2	3	1	2	-2	4	2	3	-1	4	3	3	0
t000075	1950/tv_com_1950_85.txt	1950	7	0	1	1	1	0	11	-1	1	0	1	0	1	1	4	-1
t000076	1950/tv_com_1950_86.txt	1950	12	0	0	1	0	4	-1	-2	3	1	2	5	4	1	8	0
t000077	1950/tv_com_1950_87.txt	1950	6	1	1	9	0	-2	0	1	15	3	5	3	1	0	8	-2
t000078	1950/tv_com_1950_89.txt	1950	6	-4	9	-1	0	1	-1	-1	10	2	3	0	5	3	4	-1
t000079	1950/tv_com_1950_90.txt	1950	8	0	0	2	-1	2	0	3	1	1	1	-2	0	0	8	0
t000080	1950/tv_com_1950_91.txt	1950	5	-1	-1	0	1	1	2	-1	4	0	2	-5	1	0	6	0
t000081	1950/tv_com_1950_92.txt	1950	7	1	-1	-1	-2	5	-1	0	-1	0	2	0	0	1	5	0
t000082	1950/tv_com_1950_93.txt	1950	10	0	3	-1	0	-2	1	2	0	3	3	-2	1	0	6	-1
t000083	1950/tv_com_1950_94.txt	1950	9	1	3	-1	0	-1	4	1	0	2	1	-3	2	0	7	0
t000084	1950/tv_com_1950_95.txt	1950	6	0	2	-1	-4	1	1	0	4	2	2	-2	3	2	6	-1
t000085	1950/tv_com_1950_96.txt	1950	4	0	4	-1	-3	-1	0	1	8	-1	3	4	9	0	7	-1
t000086	1950/tv_com_1950_97.txt	1950	6	-1	6	2	-5	-1	1	2	17	1	2	-6	6	3	6	0
t000087	1950/tv_com_1950_99.txt	1950	4	1	15	0	1	0	1	0	13	-5	6	1	2	2	6	0
t000088	1950/tv_com_1950_102.txt	1950	8	1	0	0	2	1	-1	4	1	2	2	-1	0	1	5	-1
t000089	1950/tv_com_1950_103.txt	1950	3	1	2	-1	1	-3	0	0	0	0	2	1	3	0	3	1
t000090	1950/tv_com_1950_104.txt	1950	8	5	0	0	2	1	-2	0	7	1	0	14	4	2	2	0
t000091	1950/tv_com_1950_105.txt	1950	3	-2	1	1	2	-5	2	1	3	1	2	1	4	-2	2	0
t000092	1950/tv_com_1950_106.txt	1950	4	-1	1	0	0	-2	0	1	14	0	3	-1	3	1	2	0
t000093	1950/tv_com_1950_107.txt	1950	3	-2	3	0	1	2	0	0	14	-1	3	-1	7	0	2	0
t000094	1950/tv_com_1950_108.txt	1950	3	-1	5	-2	-5	-2	1	0	6	7	4	-6	6	5	6	-4
t000095	1950/tv_com_1950_109.txt	1950	3	0	6	-1	0	0	0	0	11	-1	3	1	2	-1	2	0
t000096	1950/tv_com_1950_110.txt	1950	4	-2	3	-1	0	1	0	-1	7	1	0	1	7	2	1	1
t000097	1950/tv_com_1950_112.txt	1950	4	2	0	1	0	-3	2	1	4	1	5	0	-2	0	3	0
t000098	1950/tv_com_1950_113.txt	1950	7	0	0	0	-1	0	0	0	2	4	3	-5	5	1	3	0
t000099	1950/tv_com_1950_114.txt	1950	9	-1	6	0	7	4	-1	2	-1	2	1	0	5	0	3	0
t000100	1950/tv_com_1950_116.txt	1950	3	1	1	2	0	0	0	0	0	1	2	-3	1	1	6	0
t000101	1950/tv_com_1950_117.txt	1950	3	4	5	0	1	1	1	2	3	6	9	-5	3	2	6	-1
t000102	1950/tv_com_1950_118.txt	1950	7	-2	2	2	0	1	1	1	1	3	1	1	2	0	5	1
t000103	1950/tv_com_1950_120.txt	1950	11	3	1	1	0	0	0	0	-2	1	1	-2	2	2	3	-1
t000104	1960/tv_com_1960_1.txt	1960	1	0	-1	0	0	0	0	1	4	1	2	2	6	0	12	0
t000105	1960/tv_com_1960_2.txt	1960	3	-1	0	1	0	-1	1	1	6	3	9	-3	1	1	1	0
t000106	1960/tv_com_1960_3.txt	1960	3	1	1	0	1	-1	1	5	1	2	0	0	-1	1	6	0
t000107	1960/tv_com_1960_4.txt	1960	1	0	1	-1	0	0	1	2	15	5	3	4	8	3	6	-1
t000108	1960/tv_com_1960_6.txt	1960	1	0	1	0	-1	-1	0	0	4	2	5	1	4	1	7	0
t000109	1960/tv_com_1960_8.txt	1960	3	0	0	-2	0	0	0	0	5	5	2	2	14	-1	7	0
