Decade	Category	Commercial ID
1950	Health, Beauty & Personal Care	tv_com_1950_1
1950	Household, Cleaning & Home Care	tv_com_1950_3
1950	Food, Beverages & Nutrition	tv_com_1950_5
1950	Food, Beverages & Nutrition	tv_com_1950_6
1950	Food, Beverages & Nutrition	tv_com_1950_7
1950	Food, Beverages & Nutrition	tv_com_1950_8
1950	Health, Beauty & Personal Care	tv_com_1950_9
1950	Health, Beauty & Personal Care	tv_com_1950_10
1950	Health, Beauty & Personal Care	tv_com_1950_11
1950	Food, Beverages & Nutrition	tv_com_1950_12
1950	Food, Beverages & Nutrition	tv_com_1950_13
1950	Retail (Fashion & Consumer Goods) & Services	tv_com_1950_14
1950	Food, Beverages & Nutrition	tv_com_1950_15
1950	Food, Beverages & Nutrition	tv_com_1950_16
1950	Food, Beverages & Nutrition	tv_com_1950_18
1950	Food, Beverages & Nutrition	tv_com_1950_19
1950	Health, Beauty & Personal Care	tv_com_1950_20
1950	Food, Beverages & Nutrition	tv_com_1950_21
1950	Food, Beverages & Nutrition	tv_com_1950_22
1950	Technology, Communication & Electronics	tv_com_1950_24
1950	Household, Cleaning & Home Care	tv_com_1950_25
1950	Household, Cleaning & Home Care	tv_com_1950_26
1950	Household, Cleaning & Home Care	tv_com_1950_28
1950	Health, Beauty & Personal Care	tv_com_1950_29
1950	Health, Beauty & Personal Care	tv_com_1950_30
1950	Food, Beverages & Nutrition	tv_com_1950_31
1950	Household, Cleaning & Home Care	tv_com_1950_32
1950	Retail (Fashion & Consumer Goods) & Services	tv_com_1950_33
1950	Health, Beauty & Personal Care	tv_com_1950_34
1950	Health, Beauty & Personal Care	tv_com_1950_35
1950	Health, Beauty & Personal Care	tv_com_1950_36
1950	Household, Cleaning & Home Care	tv_com_1950_38
1950	Health, Beauty & Personal Care	tv_com_1950_39
1950	Household, Cleaning & Home Care	tv_com_1950_40
1950	Health, Beauty & Personal Care	tv_com_1950_41
1950	Retail (Fashion & Consumer Goods) & Services	tv_com_1950_42
1950	Health, Beauty & Personal Care	tv_com_1950_43
1950	Health, Beauty & Personal Care	tv_com_1950_44
1950	Household, Cleaning & Home Care	tv_com_1950_45
1950	Household, Cleaning & Home Care	tv_com_1950_46
1950	Retail (Fashion & Consumer Goods) & Services	tv_com_1950_47
1950	Food, Beverages & Nutrition	tv_com_1950_48
1950	Retail (Fashion & Consumer Goods) & Services	tv_com_1950_49
1950	Technology, Communication & Electronics	tv_com_1950_50
1950	Household, Cleaning & Home Care	tv_com_1950_51
1950	Technology, Communication & Electronics	tv_com_1950_52
1950	Health, Beauty & Personal Care	tv_com_1950_53
